TestNo,MutantNo
1,2
1,172
1,175
1,176
1,177
1,178
2,1
3,1
3,2
3,3
3,36
3,39
3,40
3,41
3,42
3,54
3,56
3,57
3,59
3,61
3,62
3,63
3,64
3,68
4,53
5,1
5,2
5,3
5,53
5,54
5,56
5,57
5,59
5,61
5,62
5,63
5,64
5,68
5,70
5,191
5,193
5,196
5,198
5,199
5,203
5,204
5,206
5,208
5,211
5,212
5,214
5,216
5,219
5,221
5,226
5,228
5,230
5,235
5,236
5,238
5,243
5,246
6,1
6,2
6,3
6,53
6,54
6,56
6,57
6,59
6,61
6,62
6,63
6,64
6,68
6,70
6,191
6,193
6,196
6,198
6,199
6,203
6,204
6,206
6,207
6,208
6,210
6,211
6,212
6,213
6,214
6,215
6,216
6,218
6,219
6,220
6,221
6,222
6,223
6,224
6,225
6,226
6,227
6,228
6,229
6,230
6,231
6,232
6,233
6,234
6,235
6,236
6,237
6,238
6,239
6,240
6,241
6,246
7,1
7,2
7,3
8,1
8,2
8,3
8,20
8,21
8,22
9,1
9,2
9,3
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,50
9,51
9,52
9,53
9,54
9,55
9,56
9,57
9,58
9,59
9,60
9,61
9,62
9,63
9,64
9,65
9,66
9,67
9,68
9,69
9,70
9,71
9,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,80
9,81
10,1
10,2
10,3
10,191
10,192
10,193
10,195
11,1
11,2
11,3
11,53
11,54
11,55
11,56
11,57
11,58
11,59
11,60
11,61
11,62
11,63
11,64
11,65
11,66
11,67
11,68
11,69
11,70
11,71
11,72
11,73
11,74
11,75
11,76
11,77
11,78
11,79
11,80
11,81
11,158
11,159
11,160
11,161
11,162
11,163
11,164
11,165
11,166
11,167
11,168
11,169
11,191
11,192
11,193
11,196
11,197
11,199
11,200
11,201
12,1
12,2
12,3
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,62
12,63
12,64
12,65
12,66
12,67
12,68
12,69
12,70
12,71
12,72
12,73
12,74
12,75
12,76
12,77
12,78
12,79
12,80
12,81
12,269
12,270
12,271
12,272
13,1
13,2
13,3
13,20
13,21
13,22
13,23
13,24
13,25
14,1
14,2
14,3
14,54
14,55
14,56
14,57
14,58
14,59
14,60
14,61
14,62
14,63
14,64
14,65
14,66
14,67
14,68
14,69
14,70
14,71
14,72
14,73
14,74
14,75
14,76
14,77
14,78
14,79
14,80
14,81
14,82
14,83
14,84
14,85
14,86
