TestNo,MutantNo
354,2
354,3
355,3
356,2
356,3
358,3
360,3
361,3
363,3
364,3
365,3
366,3
367,3
368,3
368,417
368,419
369,3
370,3
370,417
370,419
371,3
371,417
371,419
372,2
372,3
373,2
373,3
374,3
375,3
375,417
375,419
376,3
377,3
378,3
379,3
380,3
381,3
381,5
381,6
382,3
384,3
385,3
387,3
388,3
388,417
388,419
389,3
390,3
390,4
391,3
392,3
393,1
393,3
393,5
393,6
393,81
393,83
394,3
394,417
394,419
396,3
397,3
398,3
399,3
400,3
401,3
401,4
402,3
402,417
402,419
403,3
404,3
405,417
405,419
406,1
406,3
407,3
408,3
409,3
409,417
409,419
410,3
412,3
413,3
414,2
414,3
415,3
415,417
415,419
416,3
416,51
416,52
416,417
416,419
417,3
418,3
419,3
419,417
419,419
420,3
421,3
422,2
422,3
423,2
423,3
425,3
426,417
426,419
427,3
428,3
429,3
430,417
430,419
431,2
431,3
432,3
433,3
434,3
435,3
436,3
436,5
436,6
437,1
437,3
438,3
439,1
439,3
440,3
441,3
441,417
441,419
442,3
442,417
442,419
443,3
444,3
444,417
444,419
446,3
446,63
446,64
448,3
449,417
449,419
451,3
452,3
454,3
455,3
456,417
456,419
458,3
460,2
461,3
462,3
462,417
462,419
463,3
463,417
463,419
464,3
467,3
467,417
467,419
468,3
469,417
469,419
470,2
470,3
471,3
472,2
472,3
472,417
472,419
473,3
473,417
473,419
474,3
476,2
476,3
477,3
478,417
478,419
479,3
480,3
480,417
480,419
481,3
482,3
482,417
482,419
483,3
483,51
483,52
484,3
484,417
484,419
485,3
486,3
487,3
487,417
487,419
490,3
491,3
491,417
491,419
493,3
494,3
495,3
495,417
495,419
496,3
496,417
496,419
497,2
497,3
501,3
502,3
503,3
504,3
505,2
505,3
506,3
507,1
507,2
507,3
507,81
507,83
508,3
509,3
510,3
510,9
510,10
511,3
511,417
511,419
512,3
513,417
513,419
514,3
515,3
515,417
515,419
516,3
516,417
516,419
517,3
520,3
522,3
523,3
524,3
525,3
526,3
526,417
526,419
527,3
527,417
527,419
529,2
529,3
530,3
532,3
532,160
533,3
534,3
534,417
534,419
535,3
536,3
536,417
536,419
537,3
538,3
539,3
539,417
539,419
