1:ROR:!=(java.lang.Object,java.lang.Object):==(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):122:moduleGraph != null |==> moduleGraph == null
2:ROR:!=(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):122:moduleGraph != null |==> false
3:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):122:moduleGraph != null |==> true
4:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):128:globalNode.markReference(null) |==> <NO-OP>
5:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):129:externNode.markReference(null) |==> <NO-OP>
6:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):130:symbolGraph.createNode(globalNode) |==> <NO-OP>
7:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):131:symbolGraph.createNode(externNode) |==> <NO-OP>
8:ROR:==(java.lang.Object,java.lang.Object):!=(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):135:moduleGraph == null |==> moduleGraph != null
9:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):135:moduleGraph == null |==> false
10:ROR:==(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):135:moduleGraph == null |==> true
11:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):136:symbolGraph.connect(externNode, null, nameInfo) |==> <NO-OP>
12:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):139:symbolGraph.connect(externNode, module, nameInfo) |==> <NO-OP>
13:COR:canModifyExterns:TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):146:canModifyExterns |==> false
14:COR:canModifyExterns:FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):146:canModifyExterns |==> true
15:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):147:NodeTraversal.traverse(compiler, externRoot, new ProcessExternProperties()) |==> <NO-OP>
16:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:NodeTraversal.traverse(compiler, root, new ProcessProperties()) |==> <NO-OP>
17:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):155:t.computeFixedPoint(symbolGraph, Sets.newHashSet(externNode, globalNode)) |==> <NO-OP>
18:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@getAllNameInfo():164:result.addAll(varNameInfo.values()) |==> <NO-OP>
19:ROR:==(java.lang.Object,java.lang.Object):!=(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):176:type == PROPERTY |==> type != PROPERTY
20:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):176:type == PROPERTY |==> false
21:ROR:==(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):176:type == PROPERTY |==> true
22:COR:map.containsKey(name):TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):178:map.containsKey(name) |==> false
23:COR:map.containsKey(name):FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):178:map.containsKey(name) |==> true
24:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):182:map.put(name, nameInfo) |==> <NO-OP>
25:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties@getNameInfoForName(java.lang.String,com.google.javascript.jscomp.AnalyzePrototypeProperties.SymbolType):183:symbolGraph.createNode(nameInfo) |==> <NO-OP>
26:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@<init>():192:symbolStack.push(new NameContext(globalNode)) |==> <NO-OP>
