TestNo,MutantNo
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,1
1,12
1,11
1,13
1,54
1,95
1,96
1,132
1,133
1,258
1,259
1,292
1,293
1,294
1,295
1,296
1,297
1,298
1,299
1,300
1,301
1,303
1,304
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,133
2,247
2,248
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,54
3,95
3,96
3,132
3,133
3,258
3,259
3,292
3,293
3,294
3,295
3,296
3,297
3,298
3,299
3,300
3,301
3,303
3,304
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,54
4,95
4,96
4,132
4,133
4,150
4,292
4,293
4,294
4,295
4,296
4,297
4,298
4,299
4,300
4,301
4,302
4,303
4,304
4,305
4,306
4,307
4,309
4,310
4,315
4,1165
4,1166
4,1167
4,1168
4,1169
4,1170
4,1171
4,1172
4,1173
4,1174
4,1175
4,1176
4,1177
4,1178
4,1179
4,1180
4,1181
4,1182
4,1183
4,1184
4,1185
4,1186
4,1187
4,1188
4,1189
4,1190
4,1210
4,1211
4,1212
4,1213
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,95
5,96
5,132
5,133
5,246
5,262
5,263
5,264
5,266
5,267
5,268
5,269
5,270
5,271
5,272
5,273
5,274
5,275
5,276
5,277
5,278
5,279
5,281
5,282
5,283
5,284
5,285
5,286
5,287
5,288
5,292
5,293
5,294
5,295
5,296
5,297
5,298
5,299
5,300
5,301
5,302
5,303
5,304
5,305
5,306
5,307
5,309
5,310
5,311
5,312
5,314
5,1164
5,1166
5,1167
5,1168
5,1169
5,1170
5,1171
5,1172
5,1173
5,1174
5,1175
5,1176
5,1177
5,1178
5,1179
5,1180
5,1181
5,1182
5,1183
5,1184
5,1185
5,1186
5,1187
5,1188
5,1189
5,1190
5,1210
5,1211
5,1212
5,1213
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,54
6,95
6,96
6,132
6,133
6,262
6,263
6,264
6,266
6,267
6,268
6,269
6,270
6,271
6,272
6,273
6,274
6,275
6,276
6,277
6,278
6,279
6,281
6,282
6,283
6,284
6,285
6,286
6,287
6,288
6,292
6,293
6,294
6,295
6,296
6,297
6,298
6,299
6,300
6,301
6,302
6,303
6,304
6,305
6,306
6,307
6,309
6,310
6,311
6,312
6,314
6,1164
6,1166
6,1167
6,1168
6,1169
6,1170
6,1171
6,1172
6,1173
6,1174
6,1175
6,1176
6,1177
6,1178
6,1179
6,1180
6,1181
6,1182
6,1183
6,1184
6,1185
6,1186
6,1187
6,1188
6,1189
6,1190
6,1210
6,1211
6,1212
6,1213
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,54
7,95
7,96
7,132
7,133
7,262
7,263
7,264
7,266
7,267
7,268
7,269
7,270
7,271
7,272
7,273
7,274
7,275
7,276
7,277
7,278
7,279
7,281
7,282
7,283
7,284
7,285
7,286
7,287
7,288
7,292
7,293
7,294
7,295
7,296
7,297
7,298
7,299
7,300
7,301
7,302
7,303
7,304
7,305
7,306
7,307
7,309
7,310
7,311
7,312
7,314
7,1164
7,1166
7,1167
7,1168
7,1169
7,1170
7,1171
7,1172
7,1173
7,1174
7,1175
