MutantNo,[FAIL | TIME | EXC | LIVE]
5,FAIL
6,FAIL
7,LIVE
8,LIVE
9,FAIL
10,FAIL
11,LIVE
15,LIVE
16,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,LIVE
55,LIVE
56,LIVE
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,LIVE
62,LIVE
63,LIVE
64,LIVE
65,LIVE
66,LIVE
67,LIVE
68,LIVE
69,LIVE
70,LIVE
92,FAIL
93,LIVE
94,LIVE
95,LIVE
96,LIVE
97,FAIL
98,LIVE
99,LIVE
100,LIVE
101,FAIL
104,FAIL
105,FAIL
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,LIVE
112,FAIL
113,LIVE
117,FAIL
118,FAIL
119,FAIL
120,LIVE
121,LIVE
122,FAIL
123,LIVE
127,LIVE
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,LIVE
133,LIVE
134,LIVE
135,LIVE
136,LIVE
137,LIVE
144,LIVE
145,LIVE
180,FAIL
181,LIVE
182,FAIL
183,FAIL
184,FAIL
185,LIVE
186,LIVE
187,FAIL
188,LIVE
189,FAIL
193,LIVE
194,FAIL
195,LIVE
196,LIVE
197,LIVE
198,FAIL
199,LIVE
205,LIVE
206,LIVE
1469,LIVE
1564,LIVE
1565,LIVE
1566,LIVE
1568,LIVE
1569,LIVE
1570,LIVE
1572,LIVE
1573,LIVE
