TestNo,MutantNo
412,48
412,137
412,139
412,150
412,151
428,137
428,139
428,150
428,151
429,137
429,139
429,150
429,151
435,221
435,224
435,225
435,226
435,229
435,230
435,231
435,232
461,221
461,224
461,225
461,226
461,229
461,230
461,231
461,232
485,221
485,224
485,225
485,226
485,229
485,230
485,231
485,232
485,280
495,72
495,137
495,139
495,150
495,151
495,295
495,297
506,72
506,137
506,139
506,150
506,151
515,48
515,72
515,137
515,139
515,150
515,151
520,137
520,139
520,150
520,151
520,221
520,224
520,225
520,226
520,229
520,230
520,231
520,232
542,48
547,302
551,48
551,72
551,137
551,139
551,150
551,151
553,71
553,157
558,48
575,57
575,71
575,73
575,90
598,57
598,70
598,137
598,139
598,150
598,151
598,221
598,224
598,225
598,226
598,229
598,230
598,231
598,232
600,72
600,137
600,139
600,150
600,151
601,57
601,68
601,70
601,137
601,139
601,150
601,151
601,168
676,57
676,71
676,73
676,90
1069,137
1069,139
1069,150
1069,151
1069,302
1106,57
1106,68
1106,70
1106,155
1106,168
1122,72
1122,137
1122,139
1122,150
1122,151
1126,72
1126,137
1126,139
1126,150
1126,151
1142,50
1142,52
1142,57
1142,71
1142,73
1142,88
1142,90
1142,157
1142,168
1143,72
1143,73
1143,156
