TestNo,MutantNo
1,604
1,606
1,608
2,158
2,160
2,162
3,165
3,167
5,165
5,167
5,169
6,165
6,167
6,168
7,161
8,50
8,52
8,55
8,56
8,58
9,99
9,102
10,71
10,74
10,75
10,77
10,79
10,82
10,83
10,85
11,104
11,107
11,108
11,110
11,111
11,112
11,114
11,116
12,165
12,167
12,168
13,195
13,197
13,199
14,157
15,165
15,167
15,168
16,104
16,107
16,108
16,110
16,111
16,114
16,115
16,117
16,118
16,121
16,122
16,124
17,71
17,74
17,75
17,77
17,79
17,82
17,83
17,85
18,165
18,167
18,168
19,609
20,165
20,167
20,169
21,156
22,163
23,195
23,197
23,199
24,158
24,160
24,161
25,610
26,59
26,61
26,62
26,63
26,64
26,65
26,67
26,69
27,156
28,125
28,127
28,138
28,139
29,138
29,140
29,142
30,599
30,602
31,158
31,160
32,195
32,197
32,199
33,156
34,71
34,72
34,73
34,77
34,79
34,80
34,82
34,84
34,86
35,125
35,127
35,138
35,140
35,141
36,604
36,606
36,607
37,599
37,602
38,165
38,167
38,169
39,138
39,140
39,142
40,182
40,184
40,194
41,165
41,167
41,168
42,99
42,102
43,157
44,138
44,140
44,142
45,99
45,102
46,71
46,74
46,75
46,77
46,79
46,82
46,83
46,85
47,182
47,184
47,194
48,104
48,107
48,108
48,110
48,111
48,112
48,114
48,116
49,156
50,125
50,127
50,138
50,140
50,141
51,71
51,74
51,75
51,77
51,79
51,82
51,83
51,85
52,165
52,167
52,168
53,71
53,72
53,74
53,76
53,78
54,158
54,160
54,162
55,182
55,184
55,195
55,196
56,104
56,105
56,106
56,110
56,111
56,114
56,115
56,117
56,118
56,121
56,122
56,124
57,604
57,606
57,608
58,161
59,158
59,160
59,161
60,158
60,160
60,162
61,182
61,184
61,195
61,196
62,163
63,104
63,105
63,106
63,110
63,111
63,114
63,115
63,117
63,118
63,119
63,120
63,124
64,71
64,72
64,73
64,77
64,79
64,82
64,83
64,85
65,610
66,71
66,74
66,75
66,77
66,79
66,82
66,83
66,85
67,165
67,167
67,168
68,599
68,602
69,587
69,589
69,599
69,601
69,603
70,604
70,606
70,608
71,604
71,606
72,39
72,40
72,41
72,42
72,44
72,46
72,48
73,165
73,167
73,168
74,604
74,606
74,608
75,195
75,197
75,199
76,165
76,167
76,168
77,195
77,197
77,199
78,104
78,105
78,106
78,110
78,111
78,112
78,113
78,117
78,118
78,119
78,120
78,124
79,604
79,606
79,608
80,164
81,158
81,160
81,162
82,104
82,107
82,108
82,110
82,111
82,114
82,115
82,117
82,118
82,119
82,121
82,123
83,165
83,167
83,169
84,71
84,72
84,74
84,76
84,78
85,99
85,102
86,156
87,104
87,105
87,106
87,110
87,111
87,112
87,114
87,116
88,158
88,160
88,161
89,52
89,55
89,56
89,58
90,165
90,167
90,168
91,587
91,589
91,598
91,600
92,604
92,606
92,608
93,104
93,105
93,107
93,109
94,138
94,140
94,142
95,104
95,107
95,108
95,110
95,111
95,114
95,115
95,117
95,118
95,121
95,122
95,124
96,165
96,167
96,168
97,71
97,72
97,74
97,76
97,78
98,158
98,160
98,162
100,104
100,105
100,106
100,110
100,111
100,112
100,113
100,117
100,118
100,119
100,121
100,123
101,157
102,182
102,184
102,195
102,196
103,165
103,167
103,169
104,104
104,105
104,107
104,109
105,71
105,74
105,75
105,77
105,79
105,82
105,83
105,85
106,104
106,105
106,106
106,110
106,111
106,112
106,113
106,117
106,118
106,119
106,120
106,124
107,158
107,160
107,162
108,71
108,74
108,75
108,77
108,79
108,80
108,81
108,85
109,104
109,105
109,106
109,110
109,111
109,112
109,113
109,117
109,118
109,119
109,120
109,124
110,99
110,102
111,156
112,195
112,197
112,199
113,158
113,160
113,161
114,165
114,167
114,169
115,104
115,107
115,108
115,110
115,111
115,112
115,114
115,116
116,158
116,160
116,162
118,156
119,182
119,184
119,194
120,104
120,105
120,107
120,109
121,182
121,184
121,195
121,197
121,198
122,71
122,72
122,73
122,77
122,79
122,80
122,81
122,85
123,104
123,105
123,106
123,110
123,111
123,114
123,115
123,117
123,118
123,121
123,122
123,124
124,138
124,140
124,142
125,50
125,52
125,55
125,56
125,58
126,104
126,107
126,108
126,110
126,111
126,114
126,115
126,117
126,118
126,119
126,120
126,124
127,599
127,602
128,157
129,195
129,197
129,199
130,604
130,606
131,125
131,127
131,138
131,139
132,171
132,173
132,175
132,177
132,179
132,181
133,156
134,87
134,89
134,99
134,101
134,103
135,138
135,140
135,142
136,125
136,127
136,138
136,139
137,104
137,107
137,108
137,110
137,111
137,114
137,115
137,117
137,118
137,119
137,120
137,124
138,99
138,102
139,165
139,167
139,169
141,71
141,74
141,75
141,77
141,79
141,82
141,83
141,85
142,599
142,602
143,138
143,140
143,142
144,599
144,602
145,162
146,104
146,105
146,106
146,110
146,111
146,112
146,113
146,117
146,118
146,121
146,122
146,124
147,161
148,104
148,105
148,107
148,109
149,611
149,613
149,616
149,619
149,620
149,622
149,624
149,626
149,644
150,182
150,184
150,195
150,197
150,198
151,99
151,102
152,599
152,602
153,125
153,127
