TestNo,MutantNo
138,70
138,71
138,78
138,81
138,162
138,164
147,74
147,75
147,162
147,164
151,70
151,71
151,78
151,81
151,162
151,164
163,47
163,49
163,50
163,51
163,54
163,56
166,1
179,7
179,8
191,47
191,49
191,50
191,51
191,54
191,56
199,47
199,49
199,50
199,51
199,54
199,56
201,70
201,71
201,81
201,162
201,164
223,162
223,163
228,4
228,6
229,47
229,49
229,50
229,51
229,54
229,56
230,37
230,39
230,198
230,337
230,339
250,37
250,39
250,198
250,337
250,339
252,37
252,39
252,198
252,337
252,339
253,37
253,39
253,198
253,337
253,339
254,37
254,39
254,198
254,337
254,339
257,37
257,39
257,198
257,337
257,339
258,37
258,39
258,198
258,337
258,339
260,37
260,39
260,198
260,337
260,339
267,37
267,39
267,198
267,337
267,339
268,37
268,39
268,198
268,337
268,339
269,37
269,39
269,198
269,337
269,339
270,37
270,39
270,198
270,337
270,339
271,37
271,39
271,198
271,337
271,339
272,37
272,39
272,198
272,337
272,339
273,37
273,39
273,198
273,337
273,339
276,37
276,39
276,198
276,337
276,339
280,37
280,39
280,198
280,337
280,339
281,37
281,39
281,198
281,337
281,339
282,37
282,39
282,198
282,337
282,339
283,37
283,39
283,198
283,337
283,339
283,340
283,341
283,343
284,37
284,39
284,198
284,337
284,339
286,37
286,39
286,198
286,337
286,339
288,37
288,39
288,198
288,337
288,339
289,37
289,39
289,198
289,337
289,339
290,37
290,39
290,198
290,337
290,339
291,37
291,39
291,198
291,337
291,339
293,37
293,39
293,198
293,337
293,339
296,37
296,39
296,198
296,337
296,339
298,37
298,39
298,198
298,337
298,339
300,37
300,39
300,198
300,337
300,339
302,37
302,39
302,198
302,337
302,339
303,37
303,39
303,198
303,337
303,339
304,37
304,39
304,198
304,337
304,339
305,37
305,39
305,198
305,337
305,339
306,37
306,39
306,198
306,337
306,339
307,37
307,39
307,198
307,337
307,339
308,37
308,39
308,198
308,337
308,339
309,37
309,39
309,198
309,337
309,339
310,37
310,39
310,198
310,337
310,339
311,37
311,39
311,198
311,337
311,339
313,37
313,39
313,198
313,337
313,339
314,37
314,39
314,198
314,337
314,339
315,37
315,39
315,198
315,337
315,339
316,37
316,39
316,198
316,337
316,339
317,37
317,39
317,198
317,337
317,339
318,37
318,39
318,198
318,337
318,339
319,37
319,39
319,198
319,337
319,339
320,37
320,39
320,198
320,337
320,339
321,37
321,39
321,198
321,337
321,339
322,37
322,39
322,198
322,337
322,339
323,37
323,39
323,198
323,337
323,339
324,37
324,39
324,198
324,337
324,339
325,37
325,39
325,198
325,337
325,339
326,37
326,39
326,198
326,337
326,339
327,37
327,39
327,198
327,337
327,339
328,37
328,39
328,198
328,337
328,339
329,37
329,39
329,198
329,337
329,339
330,37
330,39
330,198
330,337
330,339
331,37
331,39
331,198
331,337
331,339
334,37
334,39
334,198
334,337
334,339
338,37
338,39
338,198
338,337
338,339
339,37
339,39
339,198
339,337
339,339
340,37
340,39
340,198
340,337
340,339
341,37
341,39
341,198
341,337
341,339
342,37
342,39
342,198
342,337
342,339
343,37
343,39
343,198
343,337
343,339
344,37
344,39
344,198
344,337
344,339
345,37
345,39
345,198
345,337
345,339
346,37
346,39
346,198
346,337
346,339
347,37
347,39
347,198
347,337
347,339
348,37
348,39
348,198
348,337
348,339
349,37
349,39
349,198
349,337
349,339
350,37
350,39
350,198
350,337
350,339
351,37
351,39
351,198
351,337
351,339
352,37
352,39
352,198
352,337
352,339
353,37
353,39
353,198
353,337
353,339
354,37
354,39
354,198
354,337
354,339
355,37
355,39
355,198
355,337
355,339
356,37
356,39
356,198
356,337
356,339
357,37
357,39
357,198
357,337
357,339
358,37
358,39
358,198
358,337
358,339
359,37
359,39
359,197
359,198
359,202
359,203
359,204
359,206
359,208
359,209
359,212
359,213
359,337
359,339
360,37
360,39
360,198
360,337
360,339
361,37
361,39
361,198
361,337
361,339
362,37
362,39
362,198
362,337
362,339
363,37
363,39
363,198
363,337
363,339
364,37
364,39
364,198
364,337
364,339
365,37
365,39
365,198
365,337
365,339
366,37
366,39
366,198
366,337
366,339
367,37
367,39
367,198
367,337
367,339
368,37
368,39
368,67
368,121
368,162
368,164
368,198
368,337
368,339
369,37
369,39
369,198
369,337
369,339
370,37
370,39
370,198
370,337
370,339
371,37
371,39
371,198
371,337
371,339
372,37
372,39
372,198
372,337
372,339
373,37
373,39
373,198
373,337
373,339
374,37
374,39
374,198
374,337
374,339
375,37
375,39
375,198
375,337
375,339
376,37
376,39
376,198
376,337
376,339
377,37
377,39
377,198
377,337
377,339
378,37
378,39
378,198
378,337
378,339
379,37
379,39
379,198
379,337
379,339
379,340
379,341
379,343
380,37
380,39
380,198
380,337
380,339
381,37
381,39
381,198
381,337
381,339
382,37
382,39
382,198
382,337
382,339
383,37
383,39
383,198
383,337
383,339
384,37
384,39
384,198
384,337
384,339
385,37
385,39
385,198
385,337
385,339
386,37
386,39
386,198
386,337
386,339
387,37
387,39
387,198
387,337
387,339
388,37
388,39
388,198
388,337
388,339
389,37
389,39
389,198
389,337
389,339
390,37
390,39
390,198
390,337
390,339
392,37
392,39
392,198
392,337
392,339
393,37
393,39
393,195
393,198
393,337
393,339
394,37
394,39
394,198
394,337
394,339
395,37
395,39
395,198
395,337
395,339
396,37
396,39
396,198
396,337
396,339
397,37
397,39
397,198
397,337
397,339
398,37
398,39
398,198
398,297
398,337
398,339
399,37
399,39
399,198
399,337
399,339
400,37
400,39
400,67
400,121
400,162
400,164
400,198
400,337
400,339
402,37
402,39
402,198
402,337
402,339
404,37
404,39
404,198
404,337
404,339
405,37
405,39
405,198
405,337
405,339
406,37
406,39
406,66
406,162
406,164
406,198
406,337
406,339
407,37
407,39
407,198
407,337
407,339
408,37
408,39
408,198
408,337
408,339
409,37
409,39
409,198
409,337
409,339
