TestNo,MutantNo
1,1343
1,1344
2,1443
2,1444
5,1159
5,1161
5,1163
5,1167
5,1168
5,1169
5,1170
5,1172
5,1173
5,1176
5,1177
5,1178
5,1180
5,1179
6,1191
6,1192
6,1193
6,1194
6,1195
7,1392
7,1393
8,1
8,2
8,3
8,4
8,5
8,66
8,67
8,68
8,88
8,89
8,90
8,91
8,92
8,93
8,94
8,95
8,213
8,214
8,215
8,216
8,217
8,218
8,219
8,220
8,221
8,222
8,223
8,224
8,225
8,226
8,227
8,228
9,229
9,230
9,231
10,229
10,230
10,231
10,232
10,233
10,234
11,1441
11,1442
11,1443
11,1444
11,1445
11,1446
11,1447
11,1448
11,1449
11,1450
11,1451
11,1452
11,1453
11,1454
11,1493
11,1494
11,1495
11,1496
11,1497
11,1498
11,1499
12,283
12,284
12,285
12,287
12,288
12,289
12,290
12,291
12,292
12,293
12,294
12,295
12,296
13,39
13,40
13,41
13,42
13,43
13,44
13,45
13,46
13,47
13,48
13,96
13,97
13,98
13,99
13,100
13,101
13,102
13,103
13,104
13,105
13,106
13,107
13,108
13,109
13,110
13,111
13,112
13,113
13,114
13,115
13,116
13,117
13,118
13,119
13,120
13,121
13,122
13,123
13,124
13,125
13,126
13,283
13,284
13,285
13,287
13,288
13,289
13,290
13,291
13,292
13,293
13,294
13,295
13,297
13,298
13,299
13,300
13,301
13,302
13,303
13,304
13,305
13,306
13,307
13,308
13,309
13,310
13,311
13,312
13,313
13,314
13,315
13,316
13,317
13,318
14,96
14,97
14,98
14,99
14,100
14,101
14,102
14,103
14,104
14,105
14,106
14,107
14,108
14,109
14,110
14,111
14,112
14,113
14,114
14,115
14,116
14,117
14,118
14,119
14,120
14,121
14,122
14,123
14,124
14,125
14,126
14,1126
14,1127
14,1128
14,1130
14,1131
14,1132
14,1133
14,1134
14,1135
14,1136
14,1137
14,1138
14,1139
14,1140
14,1141
14,1142
14,1143
14,1144
14,1145
14,1146
14,1147
14,1148
14,1149
14,1150
14,1151
14,1152
14,1153
14,1154
14,1155
14,1156
14,1157
14,1158
15,1126
15,1127
15,1128
15,1129
16,1159
16,1160
16,1161
17,1159
17,1160
17,1161
17,1162
18,1255
18,1256
18,1257
18,1258
18,1259
18,1260
18,1261
18,1262
18,1263
18,1264
18,1265
18,1266
18,1267
18,1269
18,1270
18,1271
18,1272
18,1273
18,1274
18,1275
18,1276
18,1277
