MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,FAIL
33,FAIL
34,FAIL
35,LIVE
36,LIVE
37,LIVE
38,FAIL
39,FAIL
40,LIVE
41,LIVE
42,FAIL
43,LIVE
44,FAIL
45,FAIL
46,LIVE
47,FAIL
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,LIVE
72,LIVE
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
117,FAIL
118,FAIL
119,FAIL
120,FAIL
121,LIVE
122,FAIL
123,FAIL
124,LIVE
125,FAIL
126,LIVE
127,FAIL
134,FAIL
135,FAIL
136,LIVE
137,LIVE
138,FAIL
139,FAIL
140,FAIL
141,LIVE
142,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,FAIL
192,FAIL
193,FAIL
194,FAIL
195,FAIL
196,FAIL
197,FAIL
198,FAIL
199,FAIL
200,FAIL
201,FAIL
202,FAIL
203,FAIL
204,FAIL
205,FAIL
206,FAIL
207,FAIL
208,FAIL
209,FAIL
210,FAIL
211,FAIL
212,FAIL
213,FAIL
214,FAIL
215,FAIL
216,FAIL
217,FAIL
218,FAIL
219,FAIL
220,FAIL
221,FAIL
222,FAIL
223,FAIL
224,FAIL
225,FAIL
226,FAIL
227,FAIL
228,FAIL
229,FAIL
230,FAIL
231,FAIL
232,FAIL
233,FAIL
234,FAIL
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,FAIL
240,FAIL
241,FAIL
242,FAIL
243,FAIL
244,FAIL
245,FAIL
246,FAIL
247,FAIL
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,FAIL
262,FAIL
263,FAIL
265,FAIL
266,FAIL
267,FAIL
268,FAIL
269,FAIL
270,FAIL
271,FAIL
272,FAIL
274,FAIL
275,FAIL
276,FAIL
277,FAIL
278,FAIL
279,FAIL
280,FAIL
281,FAIL
282,FAIL
283,FAIL
284,FAIL
285,FAIL
286,FAIL
287,FAIL
288,FAIL
289,FAIL
290,FAIL
291,FAIL
292,FAIL
293,FAIL
294,FAIL
295,FAIL
296,FAIL
297,FAIL
298,FAIL
299,FAIL
300,FAIL
301,FAIL
302,FAIL
303,FAIL
304,FAIL
305,FAIL
306,FAIL
307,FAIL
308,FAIL
309,FAIL
310,FAIL
311,FAIL
312,FAIL
313,FAIL
314,FAIL
315,FAIL
316,FAIL
317,FAIL
318,FAIL
319,FAIL
320,FAIL
321,FAIL
322,FAIL
323,FAIL
324,FAIL
325,FAIL
326,FAIL
327,FAIL
328,FAIL
329,FAIL
330,FAIL
331,FAIL
332,FAIL
333,FAIL
334,FAIL
335,FAIL
336,FAIL
337,FAIL
338,FAIL
339,FAIL
340,FAIL
341,FAIL
342,FAIL
343,FAIL
354,FAIL
355,FAIL
356,FAIL
357,FAIL
358,FAIL
359,FAIL
360,FAIL
361,FAIL
362,FAIL
363,FAIL
364,FAIL
365,FAIL
366,FAIL
368,FAIL
369,FAIL
370,FAIL
371,FAIL
372,FAIL
373,FAIL
374,FAIL
375,FAIL
376,FAIL
377,FAIL
378,FAIL
379,FAIL
380,FAIL
381,FAIL
382,FAIL
383,FAIL
384,FAIL
385,FAIL
386,FAIL
387,FAIL
388,FAIL
389,FAIL
390,FAIL
391,FAIL
392,FAIL
393,FAIL
394,FAIL
395,FAIL
396,FAIL
397,FAIL
398,FAIL
399,FAIL
400,FAIL
401,FAIL
402,FAIL
403,FAIL
