TestNo,MutantNo
717,4
717,13
717,16
717,17
717,19
717,21
717,22
717,23
717,27
719,4
719,54
719,55
719,56
719,57
719,61
719,97
719,99
724,4
726,1
728,4
730,4
730,54
730,55
730,56
730,57
730,61
730,97
730,99
731,4
731,268
731,269
731,270
731,271
731,275
732,111
732,112
733,4
734,4
734,268
734,269
734,270
734,271
734,275
736,4
737,380
737,381
737,382
737,383
740,4
740,6
740,69
740,71
740,72
740,74
740,76
741,1
741,2
741,3
741,4
741,69
741,71
741,72
741,74
741,76
743,4
743,97
743,99
744,4
744,268
744,269
744,270
744,271
744,275
745,3
745,4
745,69
745,71
745,72
745,74
745,76
745,111
745,113
745,115
745,200
745,201
746,4
746,62
746,63
746,64
746,65
746,66
746,67
747,4
747,69
747,71
747,72
747,74
747,76
749,4
749,13
749,16
749,17
749,19
749,21
749,22
749,23
749,27
750,4
750,69
750,71
750,72
750,74
750,76
750,79
750,81
750,82
750,84
750,86
751,4
751,54
751,55
751,56
751,57
751,61
751,97
751,99
752,4
752,43
752,46
752,47
752,49
752,268
752,269
752,270
752,271
752,275
753,4
753,309
754,4
754,69
754,71
754,72
754,74
754,76
755,4
756,4
756,54
756,55
756,56
756,57
756,61
756,97
756,99
756,111
756,113
756,115
756,120
756,201
757,4
758,200
759,4
760,4
761,4
761,69
761,71
761,72
761,74
761,76
761,97
761,99
761,368
761,369
761,370
761,371
761,375
762,2
762,4
762,5
762,62
762,63
762,64
762,65
762,66
762,67
763,4
763,69
763,71
763,72
763,74
763,76
764,4
764,268
764,269
764,270
764,271
764,275
765,1
765,3
765,4
765,69
765,71
765,72
765,74
765,76
765,97
765,99
766,2
766,4
766,13
766,16
766,17
766,19
766,21
766,22
766,23
766,27
766,97
766,99
766,368
766,369
766,370
766,371
766,375
767,2
767,4
767,13
767,16
767,17
767,19
767,21
767,22
767,23
767,27
767,97
767,99
767,368
767,369
767,370
767,371
767,375
768,42
768,45
768,46
768,47
768,48
769,4
769,13
769,16
769,17
769,19
769,21
769,22
769,23
769,27
770,1
770,4
770,69
770,71
770,72
770,74
770,76
771,2
771,4
771,13
771,16
771,17
771,19
771,21
771,22
771,23
771,27
771,97
771,99
771,368
771,369
771,370
771,371
771,375
772,4
772,97
772,99
773,4
774,4
774,97
774,99
775,2
775,4
775,268
775,269
775,270
775,271
775,275
776,3
776,111
776,113
776,115
776,198
777,2
777,4
777,13
777,16
777,17
777,19
777,21
777,22
777,23
777,27
777,62
777,63
777,64
777,65
777,66
777,67
777,69
777,71
777,72
777,74
777,76
777,97
777,99
777,368
777,369
777,370
777,371
777,375
778,4
780,4
781,2
781,4
781,6
781,69
781,71
781,72
781,74
781,76
782,4
782,69
782,71
782,72
782,74
782,76
782,97
782,99
782,368
782,369
782,370
782,371
782,375
783,1
783,4
783,97
783,99
784,4
784,43
784,46
784,47
784,49
784,268
784,269
784,270
784,271
784,275
785,3
785,4
785,111
785,113
785,115
785,197
785,198
785,268
785,269
785,270
785,271
785,275
786,2
786,3
786,4
786,97
786,99
786,403
786,406
786,407
786,409
786,410
786,413
786,414
786,416
786,419
786,422
786,423
786,424
786,426
789,4
789,54
789,55
789,56
789,57
789,61
789,97
789,99
790,4
790,54
790,55
790,56
790,57
790,61
790,97
790,99
791,4
791,69
791,71
791,72
791,74
791,76
792,4
792,97
792,99
792,101
792,102
792,103
792,104
792,108
793,4
793,62
793,63
793,64
793,65
793,66
793,67
794,4
794,69
794,71
794,72
794,74
794,76
794,79
794,81
794,82
794,84
794,86
794,405
794,406
794,407
794,408
795,2
795,4
795,6
795,13
795,16
795,17
795,19
795,21
795,22
795,23
795,27
796,1
796,4
796,69
796,71
796,72
796,74
796,76
796,228
796,230
796,232
796,233
796,234
796,235
796,239
796,245
796,246
796,247
796,248
796,250
796,251
796,252
796,268
796,269
796,270
796,271
796,275
797,4
797,43
797,46
797,47
797,49
797,69
797,71
797,72
797,74
797,76
797,268
797,269
797,270
797,271
797,275
798,4
798,5
798,62
798,63
798,65
798,66
798,67
798,69
798,71
798,72
798,74
798,76
798,97
798,99
798,228
798,230
798,232
798,233
798,234
798,235
798,239
798,245
798,246
798,247
798,248
798,250
798,251
798,252
798,253
798,254
798,255
798,256
798,260
798,368
798,369
798,370
798,371
798,375
799,4
799,97
799,99
800,4
800,6
800,54
800,55
800,56
800,57
800,61
800,97
800,99
801,2
801,4
801,5
802,1
802,4
802,69
802,71
802,72
802,74
802,76
803,1
803,3
803,4
803,69
803,71
803,72
803,74
803,76
803,79
803,81
803,82
803,84
803,86
803,97
803,99
803,101
803,102
803,103
803,104
803,108
803,111
803,113
803,114
803,123
803,124
803,125
803,126
803,128
803,130
803,518
803,520
803,522
803,525
803,529
804,1
804,4
804,69
804,71
804,72
804,74
804,76
805,412
805,413
805,414
805,415
806,2
806,4
806,13
806,16
806,17
806,19
806,21
806,22
806,23
806,27
808,4
810,4
810,97
810,99
810,309
811,4
811,69
811,71
811,72
811,74
811,76
811,97
811,99
811,368
811,369
811,370
811,371
811,375
811,380
811,381
811,382
811,383
812,6
812,7
813,4
813,69
813,71
813,72
813,74
813,76
813,97
813,99
813,368
813,369
813,370
813,371
813,375
815,4
815,62
815,63
815,64
815,65
815,66
815,67
815,268
815,269
815,270
815,271
815,275
816,4
816,228
816,230
816,232
816,233
816,234
816,235
816,239
816,245
816,246
816,247
816,248
816,250
816,251
816,252
817,1
817,4
817,69
817,71
817,72
817,74
817,76
818,1
818,3
818,4
818,69
818,71
818,72
818,74
818,76
818,197
819,4
819,97
819,99
820,4
820,69
820,71
820,72
820,74
820,76
820,97
820,99
820,368
820,369
820,370
820,371
820,375
823,4
824,380
824,381
824,382
824,383
825,412
825,413
825,414
825,415
826,2
826,3
826,111
826,113
826,115
827,1
827,4
827,69
827,71
827,72
827,74
827,76
827,79
827,81
827,82
827,84
827,86
827,97
827,99
827,101
827,102
827,103
827,104
827,108
827,518
827,520
827,522
827,525
827,529
828,4
828,13
828,16
828,17
828,19
828,21
828,22
828,23
828,27
828,97
828,99
828,203
828,204
828,205
828,206
828,210
828,268
828,269
828,270
828,271
828,275
829,1
829,3
829,4
829,69
829,71
829,72
829,74
829,76
829,315
829,318
829,319
829,320
829,322
829,336
829,337
829,340
829,341
829,342
829,518
829,520
829,522
829,525
829,529
830,1
830,3
830,4
830,69
830,71
830,72
830,74
830,76
831,1
831,4
831,69
831,71
831,72
831,74
831,76
832,4
832,228
832,230
832,232
832,233
832,234
832,235
832,239
832,245
832,246
832,247
832,248
832,250
832,251
832,252
833,4
833,43
833,46
833,47
833,49
833,228
833,230
833,232
833,233
833,234
833,235
833,239
833,245
833,246
833,247
833,248
833,250
833,251
833,252
834,1
834,3
834,4
834,315
834,318
834,319
834,320
834,322
834,336
834,337
834,340
834,341
834,342
835,4
835,69
835,71
835,72
835,74
835,76
835,97
835,99
835,368
835,369
835,370
835,371
835,375
836,4
836,97
836,99
837,4
837,54
837,55
837,56
837,57
837,61
837,97
837,99
837,309
838,3
838,4
838,111
838,113
838,115
838,198
838,268
838,269
838,270
838,271
838,275
840,2
840,3
840,4
841,2
841,436
841,437
842,4
842,13
842,16
842,17
842,19
842,21
842,22
842,23
842,27
842,43
842,46
842,47
842,49
842,69
842,71
842,72
842,74
842,76
842,97
842,99
842,268
842,269
842,270
842,271
842,275
842,368
842,369
842,370
842,371
842,375
842,518
842,520
842,522
842,525
842,529
843,4
843,54
843,55
843,56
843,57
843,61
843,97
843,99
843,436
843,437
844,4
844,6
844,69
844,71
844,72
844,74
844,76
845,1
845,3
845,4
845,69
845,71
845,72
845,74
845,76
846,2
846,4
846,43
846,46
846,47
846,49
846,200
846,228
846,230
846,232
846,233
846,234
846,235
846,239
846,245
846,246
846,247
846,248
846,250
846,251
846,252
847,1
847,4
847,6
847,69
847,71
847,72
847,74
847,76
847,97
847,99
847,268
847,269
847,270
847,271
847,275
847,368
847,369
847,370
847,371
847,375
847,436
847,438
847,439
847,441
847,443
847,446
847,447
847,448
847,450
847,513
847,515
848,4
848,203
848,204
848,205
848,206
848,210
849,3
849,4
849,268
849,269
849,270
849,271
849,275
849,315
849,318
849,319
849,320
849,322
849,336
849,337
849,340
849,341
849,342
850,3
850,111
850,113
850,115
850,200
850,201
851,1
851,4
851,69
851,71
851,72
851,74
851,76
851,79
851,81
851,82
851,84
851,86
851,97
851,99
851,101
851,102
851,103
851,104
851,108
851,518
851,520
851,522
851,525
851,529
852,1
852,4
852,54
852,55
852,56
852,57
852,61
852,97
852,99
853,4
853,97
853,99
854,4
854,97
854,99
855,4
855,69
855,71
855,72
855,74
855,76
855,97
855,99
855,368
855,369
855,370
855,371
855,375
856,1
856,3
856,4
856,69
856,71
856,72
856,74
856,76
856,315
856,318
856,319
856,320
856,322
856,336
856,337
856,340
856,341
856,342
858,1
858,4
858,54
858,55
858,56
858,57
858,61
858,97
858,99
859,1
859,3
859,4
859,69
859,71
859,72
859,74
859,76
860,4
860,97
860,99
861,4
861,69
861,71
861,72
861,74
861,76
861,97
861,99
861,368
861,369
861,370
861,371
861,375
862,1
862,4
862,69
862,71
862,72
862,74
862,76
863,4
863,97
863,99
863,412
863,413
863,414
863,415
864,1
864,3
864,4
864,62
864,63
864,64
864,65
864,66
864,67
864,69
864,71
864,72
864,74
864,76
865,4
865,97
865,99
866,4
866,69
866,71
866,72
866,74
866,76
866,97
866,99
866,368
866,369
866,370
866,371
866,375
867,4
867,69
867,71
867,72
867,74
867,76
867,79
867,81
867,82
867,84
867,86
867,518
867,520
867,522
867,525
867,529
868,1
868,4
868,69
868,71
868,72
868,74
868,76
868,79
868,81
868,82
868,84
868,86
868,97
868,99
868,101
868,102
868,103
868,104
868,108
868,518
868,520
868,522
868,525
868,529
869,4
869,268
869,269
869,270
869,271
869,275
870,3
870,4
870,69
870,71
870,72
870,74
870,76
870,97
870,99
870,436
870,438
870,439
870,441
870,443
870,446
870,447
870,448
870,450
870,513
870,515
871,1
871,3
871,4
871,69
871,71
871,72
871,74
871,76
872,4
872,43
872,46
872,47
872,49
872,228
872,230
872,232
872,233
872,234
872,235
872,239
872,245
872,246
872,247
872,248
872,250
872,251
872,252
873,4
873,13
873,16
873,17
873,19
873,21
873,22
873,23
873,27
873,69
873,71
873,72
873,74
873,76
873,97
873,99
873,368
873,369
873,370
873,371
873,375
873,518
873,520
873,522
873,525
873,529
874,4
874,69
874,71
874,72
874,74
874,76
874,97
874,99
874,368
874,369
874,370
874,371
874,375
875,4
875,69
875,71
875,72
875,74
875,76
875,97
875,99
875,368
875,369
875,370
875,371
875,375
876,3
876,111
876,113
876,115
876,198
877,2
877,4
877,43
877,46
877,47
877,49
877,228
877,230
877,232
877,233
877,234
877,235
877,239
877,245
877,246
877,247
877,248
877,250
877,251
877,252
879,1
879,4
879,62
879,63
879,64
879,65
879,66
879,67
879,69
879,71
879,72
879,74
879,76
879,97
879,99
880,1
880,3
880,4
880,69
880,71
880,72
880,74
880,76
881,4
881,97
881,99
882,4
882,97
882,99
882,268
882,269
882,270
882,271
882,275
883,4
884,1
884,3
884,4
884,69
884,71
884,72
884,74
884,76
885,4
885,97
885,99
886,4
886,97
886,99
886,203
886,204
886,205
886,206
886,210
887,4
887,97
887,99
888,4
888,69
888,71
888,72
888,74
888,76
888,97
888,99
888,228
888,230
888,232
888,233
888,234
888,235
888,239
888,245
888,246
888,247
888,248
888,250
888,251
888,252
888,368
888,369
888,370
888,371
888,375
889,4
889,97
889,99
890,1
890,4
890,69
890,71
890,72
890,74
890,76
891,1
891,3
891,4
891,69
891,71
891,72
891,74
891,76
892,1
892,3
892,4
892,69
892,71
892,72
892,74
892,76
893,4
893,69
893,71
893,72
893,74
893,76
893,97
893,99
893,368
893,369
893,370
893,371
893,375
894,4
894,69
894,71
894,72
894,74
894,76
894,97
894,99
894,368
894,369
894,370
894,371
894,375
895,2
895,4
895,13
895,16
895,17
895,19
895,21
895,22
895,23
895,27
895,97
895,99
895,368
895,369
895,370
895,371
895,375
896,1
896,3
896,4
896,69
896,71
896,72
896,74
896,76
897,2
897,4
898,4
898,97
898,99
899,4
899,69
899,71
899,72
899,74
899,76
899,97
899,99
899,368
899,369
899,370
899,371
899,375
900,4
900,69
900,71
900,72
900,74
900,76
900,79
900,81
900,82
900,84
900,86
900,518
900,520
900,522
900,525
900,529
902,1
902,3
902,4
902,69
902,71
902,72
902,74
902,76
902,228
902,230
902,232
902,233
902,234
902,235
902,239
902,245
902,246
902,247
902,248
902,250
902,251
902,252
902,315
902,318
902,319
902,320
902,322
902,336
902,337
902,340
902,341
902,342
903,2
903,4
903,5
903,43
903,46
903,47
903,49
903,268
903,269
903,270
903,271
903,275
904,4
904,5
904,69
904,71
904,72
904,74
904,76
904,97
904,99
905,4
905,97
905,99
906,4
906,97
906,99
907,4
907,43
907,46
907,47
907,49
907,228
907,230
907,232
907,233
907,234
907,235
907,239
907,245
907,246
907,247
907,248
907,250
907,251
907,252
908,3
908,4
908,5
908,6
908,111
908,113
908,114
908,123
908,124
908,125
908,126
908,128
908,130
909,4
909,13
909,16
909,17
909,19
909,21
909,22
909,23
909,27
909,69
909,71
909,72
909,74
909,76
910,4
910,69
910,71
910,72
910,74
910,76
910,79
910,81
910,82
910,84
910,86
910,518
910,520
910,522
910,525
910,529
911,4
911,97
911,99
912,1
912,3
912,4
912,69
912,71
912,72
912,74
912,76
913,4
913,97
913,99
914,2
915,1
915,4
915,69
915,71
915,72
915,74
915,76
915,268
915,269
915,270
915,271
915,275
916,1
916,4
916,69
916,71
916,72
916,74
916,76
917,4
917,69
917,71
917,72
917,74
917,76
917,79
917,81
917,82
917,84
917,86
918,4
918,43
918,46
918,47
918,49
918,69
918,71
918,72
918,74
918,76
918,268
918,269
918,270
918,271
918,275
919,1
919,4
919,69
919,71
919,72
919,74
919,76
919,97
919,99
919,436
919,438
919,439
919,441
919,443
919,446
919,447
919,448
919,450
919,513
919,515
920,4
920,5
920,97
920,99
921,4
921,6
921,13
921,16
921,17
921,19
921,21
921,22
921,23
921,27
921,97
921,99
921,228
921,230
921,232
921,233
921,234
921,235
921,239
921,245
921,246
921,247
921,248
921,250
921,251
921,252
922,4
922,69
922,71
922,72
922,74
922,76
922,228
922,230
922,232
922,233
922,234
922,235
922,239
922,245
922,246
922,247
922,248
922,250
922,251
922,252
923,4
923,69
923,71
923,72
923,74
923,76
923,79
923,81
923,82
923,84
923,86
923,97
923,99
924,4
924,69
924,71
924,72
924,74
924,76
924,97
924,99
924,436
924,438
924,439
924,441
924,443
924,446
924,447
924,448
924,450
924,513
924,515
926,3
926,4
926,5
926,6
926,7
926,111
926,113
926,114
926,123
926,124
926,125
926,126
926,128
926,130
926,518
926,520
926,522
926,525
926,529
927,4
927,97
927,99
928,3
928,4
928,268
928,269
928,270
928,271
928,275
928,315
928,318
928,319
928,320
928,322
928,336
928,337
928,340
928,341
928,342
929,4
929,6
929,403
929,406
929,407
929,409
929,410
929,413
929,414
929,416
929,419
929,422
929,423
929,424
929,426
930,3
930,4
930,6
930,111
930,113
930,114
930,123
930,124
930,125
930,126
930,128
930,130
931,4
931,69
931,71
931,72
931,74
931,76
931,79
931,81
931,82
931,84
931,86
931,518
931,520
931,522
931,525
931,529
932,1
932,4
932,69
932,71
932,72
932,74
932,76
932,97
932,99
932,268
932,269
932,270
932,271
932,275
932,436
932,438
932,439
932,441
932,443
932,446
932,447
932,448
932,450
932,513
932,515
933,4
933,69
933,71
933,72
933,74
933,76
933,97
933,99
933,436
933,438
933,439
933,441
933,443
933,446
933,447
933,448
933,450
933,513
933,515
934,3
934,4
934,97
934,99
934,111
934,113
934,114
934,123
934,124
934,125
934,126
934,128
934,130
934,268
934,269
934,270
934,271
934,275
934,436
934,438
934,439
934,441
934,443
934,446
934,447
934,448
934,450
934,513
934,515
935,1
935,4
935,69
935,71
935,72
935,74
935,76
935,79
935,81
935,82
935,84
935,86
935,97
935,99
935,101
935,102
935,103
935,104
935,108
935,518
935,520
935,522
935,525
935,529
936,1
936,3
936,4
936,13
936,16
936,17
936,19
936,21
936,22
936,23
936,27
936,69
936,71
936,72
936,74
936,76
936,97
936,99
936,368
936,369
936,370
936,371
936,375
937,1
937,3
937,4
937,6
937,69
937,71
937,72
937,74
937,76
937,228
937,230
937,232
937,233
937,234
937,235
937,239
937,245
937,246
937,247
937,248
937,250
937,251
937,252
938,3
938,4
938,5
938,6
938,111
938,113
938,114
938,123
938,124
938,125
938,126
938,128
938,130
938,135
938,136
938,138
938,139
938,140
938,276
938,277
938,279
938,280
938,281
938,284
938,289
938,290
938,291
938,295
939,1
939,3
939,4
939,13
939,16
939,17
939,19
939,21
939,22
939,23
939,27
939,69
939,71
939,72
939,74
939,76
939,79
939,81
939,82
939,84
939,86
939,97
939,99
939,228
939,230
939,232
939,233
939,234
939,235
939,239
939,245
939,246
939,247
939,248
939,250
939,251
939,252
939,315
939,318
939,319
939,320
939,322
939,336
939,337
939,340
939,341
939,342
940,4
940,97
940,99
940,268
940,269
940,270
940,271
940,275
940,436
940,438
940,439
940,441
940,443
940,446
940,447
940,448
940,450
940,513
940,515
941,4
941,97
941,99
941,268
941,269
941,270
941,271
941,275
941,436
941,438
941,439
941,441
941,443
941,446
941,447
941,448
941,450
941,513
941,515
942,1
942,4
942,69
942,71
942,72
942,74
942,76
942,412
942,413
942,414
942,415
943,1
943,4
943,69
943,71
943,72
943,74
943,76
944,4
944,69
944,71
944,72
944,74
944,76
944,97
944,99
944,368
944,369
944,370
944,371
944,375
944,518
944,520
944,522
944,525
944,529
945,3
945,4
945,69
945,71
945,72
945,74
945,76
945,97
945,99
945,111
945,113
945,115
945,197
945,198
945,436
945,438
945,439
945,441
945,443
945,446
945,447
945,448
945,450
945,513
945,515
946,4
946,69
946,71
946,72
946,74
946,76
947,111
947,113
947,115
947,120
948,3
948,4
948,6
948,111
948,113
948,114
948,123
948,124
948,125
948,126
948,128
948,130
949,4
949,69
949,71
949,72
949,74
949,76
949,97
949,99
949,368
949,369
949,370
949,371
949,375
949,518
949,520
949,522
949,525
949,529
951,1
951,4
951,69
951,71
951,72
951,74
951,76
952,4
952,69
952,71
952,72
952,74
952,76
952,97
952,99
952,436
952,438
952,439
952,441
952,443
952,446
952,447
952,448
952,450
952,513
952,515
953,4
953,69
953,71
953,72
953,74
953,76
953,79
953,81
953,82
953,84
953,86
954,4
954,69
954,71
954,72
954,74
954,76
954,97
954,99
954,368
954,369
954,370
954,371
954,375
955,1
955,3
955,4
955,69
955,71
955,72
955,74
955,76
956,4
956,13
956,16
956,17
956,19
956,21
956,22
956,23
956,27
956,43
956,46
956,47
956,49
956,69
956,71
956,72
956,74
956,76
956,97
956,99
956,268
956,269
956,270
956,271
956,275
956,368
956,369
956,370
956,371
956,375
956,518
956,520
956,522
956,525
956,529
958,4
958,13
958,16
958,17
958,19
958,21
958,22
958,23
958,27
958,43
958,46
958,47
958,49
958,69
958,71
958,72
958,74
958,76
958,97
958,99
958,268
958,269
958,270
958,271
958,275
958,368
958,369
958,370
958,371
958,375
958,518
958,520
958,522
958,525
958,529
959,4
959,69
959,71
959,72
959,74
959,76
959,97
959,99
959,368
959,369
959,370
959,371
959,375
960,4
960,69
960,71
960,72
960,74
960,76
960,97
960,99
960,368
960,369
960,370
960,371
960,375
961,4
961,69
961,71
961,72
961,74
961,76
961,97
961,99
962,4
962,97
962,99
962,268
962,269
962,270
962,271
962,275
962,436
962,438
962,439
962,441
962,443
962,446
962,447
962,448
962,450
962,513
962,515
962,518
962,520
962,522
962,525
962,529
963,4
963,69
963,71
963,72
963,74
963,76
963,97
963,99
963,101
963,102
963,103
963,104
963,108
963,436
963,438
963,439
963,441
963,443
963,446
963,447
