MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,LIVE
13,LIVE
14,LIVE
15,LIVE
16,LIVE
19,LIVE
20,LIVE
21,LIVE
22,LIVE
23,LIVE
24,LIVE
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,LIVE
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,FAIL
52,FAIL
53,LIVE
54,LIVE
55,LIVE
56,LIVE
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,LIVE
74,LIVE
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,FAIL
82,LIVE
83,FAIL
84,LIVE
85,LIVE
86,LIVE
87,LIVE
88,LIVE
89,LIVE
142,LIVE
143,LIVE
144,LIVE
145,LIVE
146,LIVE
147,LIVE
148,LIVE
149,FAIL
150,LIVE
151,FAIL
152,FAIL
153,LIVE
154,FAIL
155,LIVE
156,FAIL
160,FAIL
417,FAIL
418,LIVE
419,FAIL
441,LIVE
442,FAIL
450,LIVE
451,LIVE
452,LIVE
453,LIVE
454,FAIL
455,LIVE
456,FAIL
458,LIVE
459,LIVE
460,LIVE
461,LIVE
462,FAIL
463,LIVE
464,FAIL
466,LIVE
467,LIVE
468,LIVE
469,LIVE
470,FAIL
471,LIVE
472,FAIL
474,LIVE
481,FAIL
482,FAIL
483,LIVE
