TestNo,MutantNo
2,238
4,121
4,122
4,123
4,124
4,126
4,128
6,1
6,3
6,4
6,5
6,8
6,11
6,12
6,13
6,15
6,69
6,71
6,83
6,84
6,93
6,94
6,95
6,96
6,98
6,103
6,104
6,105
6,108
6,111
6,114
6,118
8,243
9,241
9,242
9,244
9,254
9,255
10,236
12,121
12,123
12,126
12,127
12,129
12,130
12,131
14,237
14,210
15,210
15,211
15,212
15,213
15,214
15,215
15,216
15,217
15,218
15,219
15,220
15,221
15,222
15,223
15,224
15,225
15,226
15,227
15,228
15,229
15,230
15,231
15,232
15,233
15,234
15,235
15,236
16,79
16,210
17,238
17,239
18,238
18,239
18,240
18,241
18,242
18,243
18,244
18,245
18,246
18,247
18,248
18,249
18,250
18,251
18,252
18,253
19,210
20,210
21,210
22,210
22,238
22,239
22,240
22,241
22,242
22,243
22,244
22,245
22,246
22,247
22,248
22,249
22,250
22,251
22,252
22,253
22,257
