TestNo,MutantNo
695,7
695,9
695,923
695,1004
695,1006
695,1008
695,1010
695,1012
695,1014
695,1016
695,1017
695,1020
695,1030
695,1032
695,1047
695,1051
695,1321
695,1323
695,1338
695,1339
700,7
700,9
700,1001
700,1003
700,1006
700,1012
700,1014
700,1248
700,1249
700,1321
700,1323
703,7
703,9
703,941
703,943
703,989
703,991
703,1004
703,1006
703,1008
703,1010
703,1012
703,1014
703,1016
703,1017
703,1020
703,1030
703,1032
703,1047
703,1051
703,1321
703,1323
703,1338
703,1339
731,7
731,9
731,923
731,941
731,943
731,989
731,991
731,1004
731,1006
731,1008
731,1010
731,1012
731,1014
731,1016
731,1017
731,1020
731,1030
731,1032
731,1047
731,1051
731,1321
731,1323
731,1338
731,1339
762,7
762,9
762,941
762,943
762,989
762,991
762,1001
762,1003
762,1004
762,1006
762,1012
762,1014
776,7
776,9
776,941
776,943
776,989
776,991
776,1004
776,1006
776,1008
776,1010
776,1012
776,1014
776,1016
776,1017
776,1020
776,1030
776,1032
776,1047
776,1051
776,1321
776,1323
776,1338
776,1339
861,7
861,9
861,941
861,943
861,989
861,991
861,1004
861,1006
861,1008
861,1010
861,1012
861,1014
861,1016
861,1017
861,1020
861,1030
861,1032
861,1047
861,1051
861,1321
861,1323
861,1338
861,1339
1061,7
1061,9
1061,920
1061,923
1061,941
1061,943
1061,989
1061,991
1061,1001
1061,1003
1061,1004
1061,1006
1061,1008
1061,1010
1061,1012
1061,1014
1061,1016
1061,1017
1061,1020
1061,1024
1061,1028
1061,1030
1061,1032
1061,1047
1061,1048
1061,1050
1061,1051
1061,1320
1061,1321
1061,1323
1061,1338
1061,1339
1075,7
1075,9
1075,923
1075,941
1075,943
1075,989
1075,991
1075,1001
1075,1003
1075,1004
1075,1006
1075,1008
1075,1010
1075,1012
1075,1014
1075,1016
1075,1017
1075,1020
1075,1024
1075,1028
1075,1030
1075,1032
1075,1047
1075,1048
1075,1050
1075,1051
1075,1320
1075,1321
1075,1323
1075,1338
1075,1339
1079,7
1079,9
1079,941
1079,943
1079,989
1079,991
1079,1004
1079,1006
1079,1008
1079,1010
1079,1012
1079,1014
1079,1016
1079,1017
1079,1020
1079,1030
1079,1032
1079,1047
1079,1051
1079,1321
1079,1323
1079,1338
1079,1339
1084,7
1084,9
1084,923
1084,941
1084,943
1084,989
1084,991
1084,996
1084,999
1084,1004
1084,1006
1084,1008
1084,1010
1084,1012
1084,1014
1084,1016
1084,1017
1084,1020
1084,1030
1084,1032
1084,1047
1084,1051
1084,1321
1084,1323
1084,1338
1084,1339
