TestNo,MutantNo
2,480
2,482
3,1020
3,1031
3,1315
4,1020
4,1031
4,1188
4,1192
4,1193
4,1194
4,1195
4,1196
4,1197
4,1198
4,1199
4,1200
4,1201
4,1202
4,1203
4,1204
4,1205
4,1206
4,1207
4,1208
4,1209
4,1210
4,1211
4,1212
4,1213
4,1214
4,1215
4,1216
4,1217
4,1218
4,1219
4,1220
4,1228
4,1229
4,1230
4,1231
4,1232
4,1233
4,1234
4,1239
4,1240
4,1241
4,1242
4,1243
4,1244
4,1245
4,1246
4,1247
4,1248
4,1249
4,1250
4,1251
4,1252
4,1254
4,1255
4,1316
4,1317
4,1318
4,1319
4,1320
4,1321
4,1322
4,1323
4,1324
4,1325
4,1326
4,1327
4,1328
4,1329
4,1330
4,1338
4,1339
4,1340
4,1341
4,1342
4,1343
4,1344
4,1346
4,1347
4,1348
4,1349
4,1350
4,1351
4,1352
4,1353
4,1354
4,1355
4,1356
4,1357
4,1358
4,1359
4,1360
4,1361
4,1362
4,1363
4,1364
4,1365
4,1366
4,1368
4,1369
4,1370
4,1371
4,1372
4,1373
4,1374
4,1375
4,1376
4,1377
4,1378
4,1379
4,1380
4,1381
4,1382
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,483
5,484
5,485
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,996
6,997
6,998
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,38
7,69
7,70
7,71
7,72
7,73
7,74
7,75
7,76
7,77
7,78
7,79
7,80
7,81
7,82
7,83
7,84
7,85
7,86
7,87
7,88
7,89
7,90
7,91
7,92
7,93
7,94
7,95
7,96
7,97
7,98
7,99
7,100
7,101
7,102
7,103
7,104
7,105
7,106
7,107
7,152
7,153
7,154
7,155
7,156
7,157
7,158
7,159
7,160
7,170
7,171
7,172
7,173
7,174
7,175
7,176
7,177
7,178
7,179
7,180
7,181
7,182
7,183
7,184
7,185
7,186
7,187
7,188
7,189
7,190
7,191
7,192
7,206
7,207
7,208
7,209
7,210
7,211
7,212
7,225
7,226
7,227
7,228
7,229
7,230
7,231
7,232
7,233
7,234
7,235
7,236
7,237
7,238
7,239
7,308
7,309
7,310
7,311
7,312
7,313
7,314
7,315
7,316
7,317
7,318
7,319
7,320
7,321
7,322
7,323
7,324
7,325
7,326
7,327
7,328
7,329
7,330
7,432
7,433
7,434
7,436
7,437
7,438
7,439
7,440
7,441
7,442
7,443
7,444
7,445
7,446
7,447
7,448
7,449
7,450
7,451
7,452
7,453
7,454
7,455
7,456
7,457
7,458
7,471
7,472
7,473
7,483
7,484
7,485
7,486
7,487
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,1012
8,1013
8,1015
8,1016
8,1017
8,1018
8,1019
8,1020
8,1021
8,1022
8,1023
8,1024
8,1025
8,1026
8,1027
8,1030
8,1031
8,1032
8,1033
8,1034
8,1035
8,1036
8,1037
8,1038
8,1039
8,1040
8,1041
8,1042
8,1043
8,1044
8,1045
8,1046
8,1047
8,1048
8,1049
8,1050
8,1051
8,1065
8,1066
8,1067
8,1068
8,1069
8,1070
8,1071
8,1172
8,1173
8,1174
8,1175
8,1176
8,1177
8,1178
8,1179
8,1207
8,1208
8,1209
8,1210
8,1211
8,1212
8,1213
8,1214
8,1215
8,1216
8,1217
8,1218
8,1219
8,1220
8,1228
8,1229
8,1230
8,1231
8,1232
8,1233
8,1234
8,1239
8,1240
8,1241
8,1242
8,1243
8,1244
8,1245
8,1256
8,1257
8,1258
8,1259
8,1260
8,1261
8,1262
8,1263
8,1264
8,1265
8,1266
8,1267
8,1268
8,1269
8,1270
8,1271
8,1272
8,1273
8,1274
8,1275
8,1276
8,1287
8,1288
8,1289
8,1290
8,1291
8,1292
8,1293
8,1301
8,1302
8,1303
8,1304
8,1305
8,1306
8,1307
8,1308
8,1309
8,1310
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,69
9,70
9,71
9,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,80
9,81
9,82
9,83
9,84
9,85
9,86
9,87
9,88
9,89
9,90
9,91
9,92
9,93
9,94
9,95
9,96
9,97
9,98
9,99
9,100
9,101
9,102
9,103
9,104
9,105
9,106
9,107
9,152
9,153
9,154
9,155
9,156
9,157
9,158
9,159
9,160
9,170
9,171
9,172
9,173
9,174
9,175
9,176
9,177
9,178
9,179
9,180
9,181
9,182
9,183
9,184
9,185
9,186
9,187
9,188
9,189
9,190
9,191
9,192
9,206
9,207
9,208
9,209
9,210
9,211
9,212
9,225
9,226
9,227
9,228
9,229
9,230
9,231
9,232
9,233
9,234
9,235
9,236
9,237
9,238
9,239
9,240
9,241
9,242
9,243
9,244
9,245
9,246
9,247
9,248
9,249
9,250
9,251
9,252
9,253
9,254
9,255
9,256
9,257
9,258
9,259
9,260
9,261
9,262
9,263
9,264
9,265
9,266
9,267
9,268
9,269
9,270
9,271
9,272
9,273
9,274
9,275
9,276
9,277
9,278
9,279
9,280
9,281
9,282
9,283
9,284
9,432
9,433
9,434
9,436
9,437
9,438
9,439
9,440
