TestNo,MutantNo
1324,621
1324,623
1324,646
1324,648
1324,651
1324,652
1324,653
1324,654
1324,656
1324,658
1324,659
1324,660
1324,663
1324,665
1324,868
1324,870
1324,873
1324,876
1324,877
1324,879
1324,881
1324,883
1324,885
1324,886
1324,887
1324,888
1324,889
1324,890
1324,893
1324,894
1324,895
1324,896
1324,898
1324,1273
1326,445
1326,447
1326,449
1326,451
1326,452
1326,453
1326,454
1326,456
1326,457
1326,458
1326,459
1326,461
1326,462
1326,464
1326,465
1326,467
1326,469
1326,470
1326,472
1326,474
1326,479
1326,481
1326,482
1326,484
1326,486
1326,488
1326,806
1326,808
1326,811
1326,814
1326,815
1326,817
1326,819
1326,821
1326,823
1326,824
1326,825
1326,826
1326,827
1326,828
1326,831
1326,832
1326,833
1326,834
1326,836
1326,992
1326,994
1326,997
1326,1000
1326,1001
1326,1003
1326,1005
1326,1007
1326,1009
1326,1010
1326,1011
1326,1012
1326,1013
1326,1014
1326,1015
1326,1016
1326,1017
1326,1018
1326,1020
1326,1021
1326,1022
1328,1158
1328,1159
1328,1160
1328,1162
1328,1164
1329,431
1329,433
1330,1262
1330,1263
1331,1127
1331,1128
1331,1129
1331,1130
1331,1132
1334,44
1334,45
1335,428
1335,430
1336,431
1336,433
1339,39
1339,40
1340,1197
1340,1198
1340,1199
1340,1203
1340,1205
1340,1206
1340,1207
1340,1211
1342,621
1342,623
1342,625
1342,627
1342,628
1342,630
1342,633
1342,637
1342,640
1342,641
1342,643
1342,645
1342,646
1342,648
1342,650
1342,651
1342,652
1342,653
1342,654
1342,655
1342,656
1342,657
1342,658
1342,659
1342,660
1342,662
1342,663
1342,664
1342,665
1342,666
1342,868
1342,870
1342,873
1342,876
1342,877
1342,879
1342,881
1342,883
1342,885
1342,886
1342,887
1342,888
1342,889
1342,890
1342,893
1342,894
1342,895
1342,896
1342,898
1342,1256
1342,1257
1342,1259
1342,1261
1342,1266
1342,1267
1342,1268
1342,1270
1342,1273
1342,1275
1342,1276
1342,1278
1342,1280
1342,1282
1342,1283
1343,1103
1343,1104
1343,1105
1343,1106
1343,1108
1343,1109
1343,1112
1343,1113
1343,1115
1344,1262
1344,1263
1345,5
1345,6
1346,1220
1346,1221
1348,1182
1348,1183
1348,1184
1348,1186
1348,1188
1348,1189
1348,1190
1348,1191
1348,1195
1352,489
1352,491
1352,493
1352,494
1352,495
1352,496
1352,498
1352,500
1352,501
1352,502
1352,504
1352,505
1352,506
1352,508
1352,509
1352,511
1352,513
1352,516
1352,518
1352,523
1352,525
1352,526
1352,528
1352,530
1352,532
1352,775
1352,777
1352,778
1352,780
1352,783
1352,784
1352,786
1352,787
1352,788
1352,790
1352,792
1352,793
1352,795
1352,797
1352,961
1352,963
1352,964
1352,966
1352,969
1352,970
1352,972
1352,973
1352,974
1352,976
1352,978
1352,979
1352,981
1352,983
1353,581
1353,583
1353,584
1353,586
1353,589
1353,593
1353,596
1353,597
1353,599
1353,601
1353,604
1353,606
1353,611
1353,613
1353,614
1353,616
1353,618
1353,620
1353,713
1353,715
1353,718
1353,721
1353,722
1353,724
1353,725
1353,726
1353,728
1353,730
1353,735
1353,736
1353,739
1353,740
1353,742
1354,431
1354,433
1355,1133
1355,1136
1355,1137
1355,1139
1355,1141
1355,1144
1355,1145
1355,1147
1356,434
1356,436
1358,1149
1358,1150
1358,1151
1358,1155
1358,1157
1358,1158
1358,1159
1358,1163
1359,577
1359,579
1359,581
1359,583
1359,584
1359,585
1359,586
1359,588
1359,589
1359,590
1359,591
1359,593
1359,594
1359,596
1359,597
1359,599
1359,601
1359,604
1359,606
1359,611
1359,613
1359,614
1359,616
1359,618
1359,620
1359,713
1359,715
1359,718
1359,721
1359,722
1359,724
1359,725
1359,726
1359,728
1359,730
1359,735
1359,736
1359,739
1359,740
1359,742
1360,489
1360,491
1360,493
1360,494
1360,495
1360,496
1360,498
1360,500
1360,501
1360,502
1360,504
1360,505
1360,506
1360,508
1360,509
1360,511
1360,513
