TestNo,MutantNo
1,1
1,2
1,24
1,27
1,28
1,29
1,31
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,232
1,247
1,250
1,251
1,252
1,254
738,1
738,24
738,27
738,28
738,29
738,31
741,1
741,75
741,77
741,79
741,80
741,81
741,82
741,83
741,85
741,247
741,250
741,251
741,252
741,254
750,1
750,24
750,27
750,28
750,29
750,31
750,247
750,250
750,251
750,252
750,254
753,1
753,2
753,24
753,27
753,28
753,29
753,31
753,47
753,48
753,49
753,50
753,51
753,52
753,53
753,54
753,55
753,56
758,1
758,247
758,250
758,251
758,252
758,254
765,1
765,247
765,250
765,251
765,252
765,254
770,1
770,247
770,250
770,251
770,252
770,254
771,1
771,247
771,250
771,251
771,252
771,254
774,1
774,247
774,250
774,251
774,252
774,254
782,75
782,77
782,79
782,80
782,81
782,82
782,83
782,85
785,1
785,247
785,250
785,251
785,252
785,254
786,1
786,247
786,250
786,251
786,252
786,254
786,271
786,273
788,1
788,2
788,24
788,27
788,28
788,29
788,31
788,47
788,48
788,49
788,50
788,51
788,52
788,53
788,54
788,55
788,56
791,1
791,247
791,250
791,251
791,252
791,254
791,291
791,293
791,296
791,298
794,1
794,247
794,250
794,251
794,252
794,254
795,1
795,241
795,247
795,250
795,251
795,252
795,254
800,1
800,2
800,24
800,27
800,28
800,29
800,31
800,47
800,48
800,49
800,50
800,51
800,52
800,53
800,54
800,55
800,56
800,247
800,250
800,251
800,252
800,254
805,1
805,247
805,250
805,251
805,252
805,254
806,1
806,2
806,24
806,27
806,28
806,29
806,31
806,47
806,48
806,49
806,50
806,51
806,52
806,53
806,54
806,55
806,56
807,1
807,75
807,77
807,79
807,80
807,81
807,82
807,83
807,85
807,247
807,250
807,251
807,252
807,254
807,296
807,298
808,1
808,241
808,247
808,250
808,251
808,252
808,254
808,265
808,271
808,273
808,276
808,278
809,1
809,236
809,241
809,247
809,250
809,251
809,252
809,254
812,1
812,2
812,24
812,27
812,28
812,29
812,31
812,47
812,48
812,49
812,50
812,51
812,52
812,53
812,54
812,55
812,56
812,247
812,250
812,251
812,252
812,254
813,1
813,247
813,250
813,251
813,252
813,254
815,1
815,247
815,250
815,251
815,252
815,254
816,1
816,241
816,247
816,250
816,251
816,252
816,254
816,265
816,271
816,273
816,286
816,288
816,301
816,303
817,1
817,2
817,24
817,27
817,28
817,29
817,31
817,47
817,48
817,49
817,50
817,51
817,52
817,53
817,54
817,55
817,56
819,1
819,247
819,250
819,251
819,252
819,254
820,1
820,2
820,24
820,27
820,28
820,29
820,31
820,47
820,48
820,49
820,50
820,51
820,52
820,53
820,54
820,55
820,56
820,232
820,247
820,250
820,251
820,252
820,254
824,1
824,2
824,24
824,27
824,28
824,29
824,31
824,47
824,48
824,49
824,50
824,51
824,52
824,53
824,54
824,55
824,56
824,232
824,247
824,250
824,251
824,252
824,254
825,1
825,247
825,250
825,251
825,252
825,254
831,1
831,247
831,250
831,251
831,252
831,254
837,1
837,247
837,250
837,251
837,252
837,254
839,1
839,24
839,27
839,28
839,29
839,31
839,247
839,250
839,251
839,252
839,254
840,1
840,2
840,24
840,27
840,28
840,29
840,31
840,47
840,48
840,49
840,50
840,51
840,52
840,53
840,54
840,55
840,56
844,1
844,2
844,24
844,27
844,28
844,29
844,31
844,47
844,48
844,49
844,50
844,51
844,52
844,53
844,54
844,55
844,56
844,232
844,247
844,250
844,251
844,252
844,254
845,1
845,247
845,250
845,251
845,252
845,254
846,1
846,2
846,24
846,27
846,28
846,29
846,31
846,47
846,48
846,49
846,50
846,51
846,52
846,53
846,54
846,55
846,56
846,75
846,77
846,79
846,80
846,81
846,82
846,83
846,85
846,247
846,250
846,251
846,252
846,254
847,1
847,2
847,24
847,27
847,28
847,29
847,31
847,47
847,48
847,49
847,50
847,51
847,52
847,53
847,54
847,55
847,56
848,1
848,2
848,24
848,27
848,28
848,29
848,31
848,47
848,48
848,49
848,50
848,51
848,52
848,53
848,54
848,55
848,56
849,75
849,77
849,79
849,80
849,81
849,82
849,83
849,85
850,1
850,247
850,250
850,251
850,252
850,254
851,1
851,247
851,250
851,251
851,252
851,254
852,1
852,2
852,24
852,27
852,28
852,29
852,31
852,47
852,48
852,49
852,50
852,51
852,52
852,53
852,54
852,55
852,56
852,232
852,247
852,250
852,251
852,252
852,254
854,1
854,247
854,250
854,251
854,252
854,254
855,1
855,247
855,250
855,251
855,252
855,254
856,1
856,247
856,250
856,251
856,252
856,254
857,1
857,247
857,250
857,251
857,252
857,254
858,1
858,2
858,24
858,27
858,28
858,29
858,31
858,47
858,48
858,49
858,50
858,51
858,52
858,53
858,54
858,55
858,56
858,247
858,250
858,251
858,252
858,254
861,1
861,247
861,250
861,251
861,252
861,254
862,1
862,2
862,247
862,250
862,251
862,252
862,254
863,1
863,24
863,27
863,28
863,29
863,31
863,247
863,250
863,251
863,252
863,254
864,1
864,2
864,24
864,27
864,28
864,29
864,31
864,47
864,48
864,49
864,50
864,51
864,52
864,53
864,54
864,55
864,56
864,247
864,250
864,251
864,252
864,254
865,1
865,247
865,250
865,251
865,252
865,254
867,1
867,247
867,250
867,251
867,252
867,254
868,1
868,24
868,27
868,28
868,29
868,31
868,247
868,250
868,251
868,252
868,254
869,1
869,2
869,75
869,77
869,79
869,80
869,81
869,82
869,83
869,85
869,247
869,250
869,251
869,252
869,254
869,296
869,298
870,1
870,2
870,24
870,27
870,28
870,29
870,31
870,47
870,48
870,49
870,50
870,51
870,52
870,53
870,54
870,55
870,56
870,75
870,77
870,79
870,80
870,81
870,82
870,83
870,85
870,247
870,250
870,251
870,252
870,254
872,1
872,2
872,24
872,27
872,28
872,29
872,31
872,47
872,48
872,49
872,50
872,51
872,52
872,53
872,54
872,55
872,56
872,247
872,250
872,251
872,252
872,254
873,1
873,2
873,24
873,27
873,28
873,29
873,31
873,47
873,48
873,49
873,50
873,51
873,52
873,53
873,54
873,55
873,56
873,247
873,250
873,251
873,252
873,254
874,1
874,247
874,250
874,251
874,252
874,254
876,1
876,24
876,27
876,28
876,29
876,31
877,1
877,247
877,250
877,251
877,252
877,254
878,1
878,2
878,24
878,27
878,28
878,29
878,31
878,47
878,48
878,49
878,50
878,51
878,52
878,53
878,54
878,55
878,56
879,1
879,2
879,24
879,27
879,28
879,29
879,31
879,47
879,48
879,49
879,50
879,51
879,52
879,53
879,54
879,55
879,56
879,247
879,250
879,251
879,252
879,254
880,1
880,247
880,250
880,251
880,252
880,254
882,1
882,247
882,250
882,251
882,252
882,254
884,1
884,2
884,24
884,27
884,28
884,29
884,31
884,47
884,48
884,49
884,50
884,51
884,52
884,53
884,54
884,55
884,56
884,241
884,247
884,250
884,251
884,252
884,254
886,1
886,2
886,24
886,27
886,28
886,29
886,31
886,47
886,48
886,49
886,50
886,51
886,52
886,53
886,54
886,55
886,56
888,1
888,247
888,250
888,251
888,252
888,254
889,1
889,2
889,24
889,27
889,28
889,29
889,31
889,47
889,48
889,49
889,50
889,51
889,52
889,53
889,54
889,55
889,56
889,247
889,250
889,251
889,252
889,254
892,1
892,247
892,250
892,251
892,252
892,254
894,1
894,2
894,24
894,27
894,28
894,29
894,31
894,47
894,48
894,49
894,50
894,51
894,52
894,53
894,54
894,55
894,56
894,247
894,250
894,251
894,252
894,254
896,1
896,2
896,75
896,77
896,79
896,80
896,81
896,82
896,83
896,85
896,247
896,250
896,251
896,252
896,254
897,1
897,2
897,247
897,250
897,251
897,252
897,254
898,1
898,2
899,1
899,2
899,24
899,27
899,28
899,29
899,31
899,47
899,48
899,49
899,50
899,51
899,52
899,53
899,54
899,55
899,56
901,1
901,247
901,250
901,251
901,252
901,254
902,1
902,247
902,250
902,251
902,252
902,254
904,1
904,247
904,250
904,251
904,252
904,254
905,1
905,2
905,24
905,27
905,28
905,29
905,31
905,47
905,48
905,49
905,50
905,51
905,52
905,53
905,54
905,55
905,56
905,247
905,250
905,251
905,252
905,254
906,1
906,2
906,24
906,27
906,28
906,29
906,31
906,47
906,48
906,49
906,50
906,51
906,52
906,53
906,54
906,55
906,56
906,75
906,77
906,79
906,80
906,81
906,82
906,83
906,85
906,247
906,250
906,251
906,252
906,254
907,1
907,247
907,250
907,251
907,252
907,254
910,1
910,2
910,24
910,27
910,28
910,29
910,31
910,47
910,48
910,49
910,50
910,51
910,52
910,53
910,54
910,55
910,56
910,75
910,77
910,79
910,80
910,81
910,82
910,83
910,85
910,247
910,250
910,251
910,252
910,254
910,265
911,1
911,247
911,250
911,251
911,252
911,254
912,1
912,2
912,24
912,27
912,28
912,29
912,31
912,47
912,48
912,49
912,50
912,51
912,52
912,53
912,54
912,55
912,56
912,232
912,247
912,250
912,251
912,252
912,254
913,1
913,2
913,24
913,27
913,28
913,29
913,31
913,47
913,48
913,49
913,50
913,51
913,52
913,53
913,54
913,55
913,56
913,232
913,247
913,250
913,251
913,252
913,254
914,1
914,2
914,247
914,250
914,251
914,252
914,254
915,1
915,2
915,24
915,27
915,28
915,29
915,31
915,47
915,48
915,49
915,50
915,51
915,52
915,53
915,54
915,55
915,56
915,247
915,250
915,251
915,252
915,254
915,265
917,1
917,247
917,250
917,251
917,252
917,254
919,1
919,247
919,250
919,251
919,252
919,254
920,1
920,2
920,24
920,27
920,28
920,29
920,31
920,47
920,48
920,49
920,50
920,51
920,52
920,53
920,54
920,55
920,56
920,247
920,250
920,251
920,252
920,254
922,1
922,2
922,24
922,27
922,28
922,29
922,31
922,47
922,48
922,49
922,50
922,51
922,52
922,53
922,54
922,55
922,56
923,1
923,247
923,250
923,251
923,252
923,254
925,1
925,2
925,24
925,27
925,28
925,29
925,31
925,47
925,48
925,49
925,50
925,51
925,52
925,53
925,54
925,55
925,56
927,1
927,24
927,27
927,28
927,29
927,31
927,247
927,250
927,251
927,252
927,254
928,1
928,247
928,250
928,251
928,252
928,254
929,1
929,247
929,250
929,251
929,252
929,254
931,1
931,247
931,250
931,251
931,252
931,254
932,1
932,241
932,247
932,250
932,251
932,252
932,254
932,265
932,271
932,273
932,286
932,288
932,301
932,303
933,1
933,75
933,77
933,79
933,80
933,81
933,82
933,83
933,85
933,247
933,250
933,251
933,252
933,254
933,296
933,298
934,1
934,24
934,27
934,28
934,29
934,31
934,75
934,77
934,79
934,80
934,81
934,82
934,83
934,85
934,247
934,250
934,251
934,252
934,254
935,1
935,247
935,250
935,251
935,252
935,254
936,1
936,24
936,27
936,28
936,29
936,31
936,247
936,250
936,251
936,252
936,254
937,1
937,2
937,24
937,27
937,28
937,29
937,31
937,47
937,48
937,49
937,50
937,51
937,52
937,53
937,54
937,55
937,56
937,247
937,250
937,251
937,252
937,254
938,1
938,247
938,250
938,251
938,252
938,254
938,265
941,1
941,2
941,24
941,27
941,28
941,29
941,31
941,47
941,48
941,49
941,50
941,51
941,52
941,53
941,54
941,55
941,56
941,232
941,247
941,250
941,251
941,252
941,254
942,1
942,2
942,24
942,27
942,28
942,29
942,31
942,47
942,48
942,49
942,50
942,51
942,52
942,53
942,54
942,55
942,56
942,247
942,250
942,251
942,252
942,254
944,1
944,247
944,250
944,251
944,252
944,254
945,1
945,2
945,24
945,27
945,28
945,29
945,31
945,47
945,48
945,49
945,50
945,51
945,52
945,53
945,54
945,55
945,56
946,1
946,2
946,24
946,27
946,28
946,29
946,31
946,47
946,48
946,49
946,50
946,51
946,52
946,53
946,54
946,55
946,56
946,247
946,250
946,251
946,252
946,254
947,1
947,2
947,24
947,27
947,28
947,29
947,31
947,47
947,48
947,49
947,50
947,51
947,52
947,53
947,54
947,55
947,56
947,247
947,250
947,251
947,252
947,254
949,1
949,247
949,250
949,251
949,252
949,254
951,1
951,247
951,250
951,251
951,252
951,254
952,1
952,2
952,24
952,27
952,28
952,29
952,31
952,47
952,48
952,49
952,50
952,51
952,52
952,53
952,54
952,55
952,56
953,1
953,247
953,250
953,251
953,252
953,254
954,1
954,2
954,24
954,27
954,28
954,29
954,31
954,47
954,48
954,49
954,50
954,51
954,52
954,53
954,54
954,55
954,56
954,247
954,250
954,251
954,252
954,254
955,1
955,247
955,250
955,251
955,252
955,254
956,1
956,247
956,250
956,251
956,252
956,254
956,271
956,273
956,286
956,288
957,1
957,247
957,250
957,251
957,252
957,254
957,296
957,298
958,1
958,2
958,247
958,250
958,251
958,252
958,254
958,296
958,298
959,1
959,247
959,250
959,251
959,252
959,254
960,1
960,2
960,24
960,27
960,28
960,29
960,31
960,47
960,48
960,49
960,50
960,51
960,52
960,53
960,54
960,55
960,56
960,247
960,250
960,251
960,252
960,254
961,1
961,75
961,77
961,79
961,80
961,81
961,82
961,83
961,85
961,247
961,250
961,251
961,252
961,254
961,296
961,298
962,1
962,247
962,250
962,251
962,252
962,254
963,1
963,247
963,250
963,251
963,252
963,254
964,1
964,247
964,250
964,251
964,252
964,254
965,1
965,247
965,250
965,251
965,252
965,254
967,1
967,2
967,24
967,27
967,28
967,29
967,31
967,47
967,48
967,49
967,50
967,51
967,52
967,53
967,54
967,55
967,56
967,75
967,77
967,79
967,80
967,81
967,82
