MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,LIVE
8,LIVE
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,LIVE
17,FAIL
18,FAIL
19,LIVE
20,LIVE
21,FAIL
22,LIVE
23,LIVE
24,FAIL
25,LIVE
26,FAIL
27,LIVE
28,FAIL
29,FAIL
30,FAIL
31,LIVE
32,FAIL
33,LIVE
34,FAIL
35,FAIL
36,FAIL
37,LIVE
38,LIVE
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,LIVE
55,LIVE
56,LIVE
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,LIVE
62,FAIL
63,LIVE
64,FAIL
65,LIVE
66,LIVE
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,LIVE
72,FAIL
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,LIVE
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,LIVE
109,LIVE
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,LIVE
116,LIVE
117,FAIL
118,FAIL
119,FAIL
120,LIVE
121,FAIL
122,FAIL
123,FAIL
124,FAIL
125,LIVE
126,LIVE
127,LIVE
128,LIVE
129,FAIL
130,LIVE
131,LIVE
132,LIVE
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,FAIL
139,FAIL
140,FAIL
141,FAIL
142,LIVE
143,LIVE
144,FAIL
145,LIVE
146,LIVE
147,LIVE
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,LIVE
154,LIVE
155,LIVE
156,FAIL
157,LIVE
158,LIVE
159,LIVE
160,LIVE
161,LIVE
162,LIVE
163,LIVE
164,LIVE
165,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,LIVE
174,LIVE
