TestNo,MutantNo
1,454
1,456
2,220
2,221
2,223
2,225
2,256
2,258
2,259
2,260
2,261
2,262
2,263
2,264
2,265
2,266
2,267
2,268
2,269
2,270
2,290
2,291
2,463
2,464
2,465
2,466
2,467
2,468
2,469
3,72
3,457
3,458
3,463
3,464
3,465
3,466
3,467
3,468
3,469
4,72
4,457
4,458
4,463
4,464
4,465
4,466
4,467
4,468
4,469
5,72
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,415
5,416
5,417
5,418
5,419
5,420
5,421
5,422
5,423
5,463
5,464
5,465
5,466
5,467
5,468
5,469
6,72
6,108
6,109
6,110
6,111
6,112
6,113
6,114
6,115
6,451
6,452
6,453
6,463
6,464
6,465
6,466
6,467
6,468
6,469
7,72
7,463
7,464
7,465
7,466
7,467
7,468
7,469
8,72
8,457
8,458
8,463
8,464
8,465
8,466
8,467
8,468
8,469
9,463
9,464
9,465
9,466
9,467
9,468
9,469
10,72
10,463
10,464
10,465
10,466
10,467
10,468
10,469
11,72
11,463
11,464
11,465
11,466
11,467
11,468
11,469
12,72
12,220
12,221
12,222
12,223
12,224
12,225
12,226
12,463
12,464
12,465
12,466
12,467
12,468
12,469
13,72
13,230
13,463
13,464
13,465
13,466
13,467
13,468
13,469
14,72
14,457
14,458
14,463
14,464
14,465
14,466
14,467
14,468
14,469
15,72
15,108
15,109
15,457
15,458
15,463
15,464
15,465
15,466
15,467
15,468
15,469
16,72
16,220
16,221
16,222
16,223
16,224
16,225
16,226
16,463
16,464
16,465
16,466
16,467
16,468
16,469
17,72
17,117
17,118
17,119
17,120
17,463
17,464
17,465
17,466
17,467
17,468
17,469
18,72
18,234
18,235
18,236
18,463
18,464
18,465
18,466
18,467
18,468
18,469
19,72
19,415
19,416
19,417
19,418
19,419
19,420
19,421
19,422
19,423
19,463
19,464
19,465
19,466
19,467
19,468
19,469
20,72
20,220
20,221
20,222
20,223
20,224
20,225
20,226
20,457
20,458
20,463
20,464
20,465
20,466
20,467
20,468
20,469
21,72
21,463
21,464
21,465
21,466
21,467
21,468
21,469
22,7
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,23
22,24
22,25
22,26
22,27
22,28
22,72
22,98
22,220
22,221
22,222
22,223
22,224
22,225
22,226
22,463
22,464
22,465
22,466
22,467
22,468
22,469
23,72
23,463
23,464
23,465
23,466
23,467
23,468
23,469
24,72
24,220
24,221
24,222
24,223
24,224
24,225
24,226
24,463
24,464
24,465
24,466
24,467
24,468
24,469
25,72
25,73
25,74
25,75
25,76
25,77
25,78
25,79
25,80
25,81
25,108
25,109
25,220
25,221
25,222
25,223
25,224
25,225
25,226
25,457
25,458
25,463
25,464
25,465
25,466
25,467
25,468
25,469
26,72
26,108
26,109
26,220
26,221
26,222
26,223
26,224
26,225
26,226
26,234
26,235
26,236
26,463
26,464
26,465
26,466
26,467
26,468
26,469
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,23
27,24
27,25
27,26
27,27
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
27,39
27,40
27,41
27,72
27,98
27,220
27,221
27,222
27,223
27,224
27,225
27,226
27,424
27,425
27,426
27,427
27,428
27,429
27,430
27,431
27,432
27,463
27,464
27,465
27,466
27,467
27,468
27,469
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,37
28,38
28,39
28,40
28,42
28,43
28,44
28,45
28,46
28,47
28,48
28,49
28,50
28,51
28,52
28,53
28,54
28,55
28,56
28,57
28,58
28,59
28,60
28,61
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,98
28,220
28,221
28,222
28,223
28,224
28,225
28,226
28,457
28,458
28,463
28,464
28,465
28,466
28,467
28,468
28,469
29,82
29,83
29,84
29,85
29,86
29,87
29,88
29,89
29,90
29,91
29,108
29,109
29,227
29,228
29,463
29,464
29,465
29,466
29,467
29,468
29,469
30,4
30,5
30,6
30,72
30,463
30,464
30,465
30,466
30,467
30,468
30,469
31,72
31,463
31,464
31,465
31,466
31,467
31,468
31,469
32,72
32,108
32,109
32,252
32,253
32,254
32,264
32,265
32,266
32,267
32,268
32,269
32,270
32,366
32,367
32,463
32,464
32,465
32,466
32,467
32,468
32,469
33,72
33,110
33,111
33,112
33,463
33,464
33,465
33,466
33,467
33,468
33,469
34,82
34,83
34,84
34,85
34,86
34,87
34,88
34,89
34,90
34,91
34,108
34,109
34,113
34,114
34,115
34,116
34,463
34,464
34,465
34,466
34,467
34,468
34,469
35,7
35,8
35,9
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,17
35,18
35,19
35,20
35,21
35,22
35,23
35,24
35,25
35,26
35,27
35,28
35,98
35,117
35,118
35,119
35,463
35,464
35,465
35,466
35,467
35,468
35,469
36,72
36,108
36,109
36,134
36,135
36,136
36,463
36,464
36,465
36,466
36,467
36,468
36,469
37,7
37,8
37,9
37,10
37,11
37,12
37,13
37,14
37,15
37,16
37,17
37,18
37,19
37,20
37,21
37,22
37,23
37,24
37,25
37,26
37,27
37,28
37,98
37,240
37,241
37,242
37,463
37,464
37,465
37,466
37,467
37,468
37,469
38,72
38,82
38,83
38,84
38,85
38,86
38,87
38,88
38,89
38,90
38,91
38,108
38,109
38,220
38,221
38,222
38,223
38,224
38,225
38,226
38,240
38,241
38,242
38,243
38,244
38,245
38,246
38,247
38,248
38,249
38,250
38,251
38,463
38,464
38,465
38,466
38,467
38,468
38,469
39,72
39,82
39,83
39,84
39,85
39,86
39,87
39,88
39,89
39,90
39,91
39,108
39,109
39,220
39,221
39,222
39,223
39,224
39,225
39,226
39,379
39,380
39,381
39,382
39,383
39,384
39,385
39,386
39,387
39,463
39,464
39,465
39,466
39,467
39,468
39,469
40,72
40,463
40,464
40,465
40,466
40,467
40,468
40,469
40,523
40,524
40,556
40,557
41,72
41,457
41,458
41,463
41,464
41,465
41,466
41,467
41,468
41,469
42,7
42,8
42,9
42,463
42,464
42,465
42,466
42,467
42,468
42,469
43,72
43,73
43,74
43,75
43,76
43,77
43,78
43,79
43,80
43,81
43,108
43,109
43,220
43,221
43,222
43,223
43,224
43,225
43,226
43,457
43,458
43,463
43,464
43,465
43,466
43,467
43,468
43,469
44,72
44,237
44,238
44,239
44,463
44,464
44,465
44,466
44,467
44,468
44,469
45,72
45,108
45,109
45,252
45,253
45,254
45,255
45,256
45,257
45,258
45,259
45,260
45,261
45,262
45,263
45,264
45,265
45,266
45,267
45,268
45,269
45,270
45,463
45,464
45,465
45,466
45,467
45,468
45,469
46,1
46,2
46,3
46,72
46,303
46,304
46,305
46,306
46,307
46,308
46,309
46,310
46,311
46,463
46,464
46,465
46,466
46,467
46,468
46,469
47,7
47,8
47,9
47,10
47,11
47,12
47,13
47,14
47,15
47,16
47,17
47,18
47,19
47,20
47,21
47,22
47,23
47,24
47,25
47,26
47,27
47,28
47,72
47,98
47,220
47,221
47,222
47,223
47,224
47,225
47,226
47,312
47,313
47,314
47,315
47,316
47,317
47,318
47,319
47,320
47,463
47,464
47,465
47,466
47,467
47,468
47,469
48,72
48,220
48,221
48,222
48,223
48,224
48,225
48,226
48,348
48,349
48,350
48,351
48,352
48,353
48,354
48,355
48,356
48,463
48,464
48,465
48,466
48,467
48,468
48,469
49,4
49,5
49,6
49,72
49,357
49,358
49,359
49,360
49,361
49,362
49,363
49,364
49,365
49,463
49,464
49,465
49,466
49,467
49,468
49,469
50,463
50,464
50,465
50,466
50,467
50,468
50,469
50,523
50,524
51,72
51,379
51,380
51,381
51,382
51,383
51,384
51,385
51,386
51,387
51,463
51,464
51,465
51,466
51,467
51,468
51,469
52,4
52,5
52,6
52,72
52,433
52,434
52,435
52,436
52,437
52,438
52,439
52,440
52,441
52,463
52,464
52,465
52,466
52,467
52,468
52,469
53,1
53,2
53,3
53,72
53,463
53,464
53,465
53,466
53,467
53,468
53,469
54,72
54,220
54,221
54,222
54,223
54,224
54,225
54,226
54,463
54,464
54,465
54,466
54,467
54,468
54,469
55,29
55,30
55,31
55,463
55,464
55,465
55,466
55,467
55,468
55,469
56,72
56,220
56,221
56,222
56,223
56,224
56,225
56,226
56,294
56,295
56,296
56,297
56,298
56,299
