1:ROR:==(java.lang.Object,java.lang.Object):!=(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@now(org.joda.time.DateTimeZone):124:zone == null |==> zone != null
2:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@now(org.joda.time.DateTimeZone):124:zone == null |==> false
3:ROR:==(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@now(org.joda.time.DateTimeZone):124:zone == null |==> true
4:ROR:==(java.lang.Object,java.lang.Object):!=(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@now(org.joda.time.Chronology):140:chronology == null |==> chronology != null
5:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@now(org.joda.time.Chronology):140:chronology == null |==> false
6:ROR:==(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@now(org.joda.time.Chronology):140:chronology == null |==> true
7:ROR:==(java.lang.Object,java.lang.Object):!=(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):196:calendar == null |==> calendar != null
8:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):196:calendar == null |==> false
9:ROR:==(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):196:calendar == null |==> true
10:ROR:==(int,int):!=(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> era != GregorianCalendar.AD
11:ROR:==(int,int):<(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> era < GregorianCalendar.AD
12:ROR:==(int,int):<=(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> era <= GregorianCalendar.AD
13:ROR:==(int,int):>(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> era > GregorianCalendar.AD
14:ROR:==(int,int):>=(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> era >= GregorianCalendar.AD
15:ROR:==(int,int):FALSE(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> false
16:ROR:==(int,int):TRUE(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:era == GregorianCalendar.AD |==> true
17:LVR:POS:0:org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:1 |==> 0
18:LVR:POS:NEG:org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:1 |==> -1
19:AOR:-(int,int):%(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:1 - yearOfEra |==> 1 % yearOfEra
20:AOR:-(int,int):*(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:1 - yearOfEra |==> 1 * yearOfEra
21:AOR:-(int,int):+(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:1 - yearOfEra |==> 1 + yearOfEra
22:AOR:-(int,int):/(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):202:1 - yearOfEra |==> 1 / yearOfEra
23:LVR:POS:0:org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):203:1 |==> 0
24:LVR:POS:NEG:org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):203:1 |==> -1
25:AOR:+(int,int):%(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):203:calendar.get(Calendar.MONTH) + 1 |==> calendar.get(Calendar.MONTH) % 1
26:AOR:+(int,int):*(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):203:calendar.get(Calendar.MONTH) + 1 |==> calendar.get(Calendar.MONTH) * 1
27:AOR:+(int,int):-(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):203:calendar.get(Calendar.MONTH) + 1 |==> calendar.get(Calendar.MONTH) - 1
28:AOR:+(int,int):/(int,int):org.joda.time.LocalDateTime@fromCalendarFields(java.util.Calendar):203:calendar.get(Calendar.MONTH) + 1 |==> calendar.get(Calendar.MONTH) / 1
29:ROR:==(java.lang.Object,java.lang.Object):!=(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):234:date == null |==> date != null
30:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):234:date == null |==> false
31:ROR:==(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):234:date == null |==> true
32:LVR:0:POS:org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:0 |==> 1
33:LVR:0:NEG:org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:0 |==> -1
34:ROR:<(long,long):!=(long,long):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:date.getTime() < 0 |==> date.getTime() != 0
35:ROR:<(long,long):<=(long,long):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:date.getTime() < 0 |==> date.getTime() <= 0
36:ROR:<(long,long):==(long,long):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:date.getTime() < 0 |==> date.getTime() == 0
37:ROR:<(long,long):>(long,long):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:date.getTime() < 0 |==> date.getTime() > 0
38:ROR:<(long,long):>=(long,long):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:date.getTime() < 0 |==> date.getTime() >= 0
39:ROR:<(long,long):FALSE(long,long):org.joda.time.LocalDateTime@fromDateFields(java.util.Date):237:date.getTime() < 0 |==> false
