TestNo,MutantNo
525,1
525,3
557,4
557,6
560,1
560,3
576,1
576,3
593,1
593,3
599,63
599,65
601,1
601,3
610,4
610,6
613,125
614,233
614,234
624,233
624,234
629,57
629,114
630,57
630,114
632,233
632,234
633,57
633,233
633,234
634,63
634,65
636,233
636,234
637,4
637,6
638,86
638,87
644,233
644,234
646,233
646,234
647,63
647,65
647,172
649,233
649,234
650,4
650,6
652,233
652,234
652,243
653,233
653,234
654,233
654,234
655,233
655,234
655,243
656,233
656,234
660,4
660,6
664,57
664,233
664,234
665,57
665,233
665,234
667,233
667,234
668,233
668,234
672,233
672,234
672,243
672,244
673,4
673,6
674,125
676,136
676,233
676,234
677,4
677,6
678,57
678,114
680,233
680,234
683,233
683,234
685,57
685,63
685,65
685,103
685,233
685,234
686,4
686,6
687,233
687,234
689,4
689,6
693,57
693,233
693,234
693,248
695,4
695,6
697,63
697,65
697,233
698,148
698,233
698,234
699,12
699,13
699,15
699,17
699,18
699,19
699,20
699,24
699,27
699,31
699,32
699,35
699,37
699,38
701,196
701,233
701,234
702,233
702,234
704,233
704,234
705,233
705,234
706,233
706,234
708,57
708,233
708,234
708,248
713,57
716,233
716,234
716,239
717,233
717,234
718,233
718,234
720,4
720,6
720,63
720,65
723,233
723,234
724,233
724,234
727,233
727,234
728,233
728,234
729,4
729,6
729,11
729,14
729,15
729,17
729,18
729,19
729,20
729,24
729,27
729,31
729,32
729,35
729,37
729,38
729,39
729,42
729,43
729,45
729,46
730,233
730,234
732,233
732,234
733,4
733,6
733,11
733,14
733,15
733,17
733,18
733,19
733,20
733,24
733,27
733,31
733,32
733,35
733,37
733,38
733,39
733,42
733,43
733,45
733,46
736,233
736,234
737,4
737,6
739,4
739,6
740,57
740,233
740,234
741,233
741,234
745,233
745,234
746,4
746,6
747,4
747,6
750,233
750,234
752,233
752,234
760,57
760,114
763,233
763,234
765,57
765,233
765,234
765,248
766,4
766,6
769,233
771,57
771,233
771,234
772,136
773,4
773,6
773,11
773,14
773,15
773,17
773,18
773,19
773,20
773,24
773,27
773,31
773,32
773,35
773,37
773,38
773,39
773,42
773,43
773,45
773,46
774,86
774,87
775,57
775,63
775,65
775,103
775,233
775,234
776,57
776,114
778,4
778,6
780,233
780,234
783,57
783,114
791,233
791,234
792,233
792,234
793,233
793,234
794,57
794,233
794,234
795,233
795,234
798,233
798,234
802,233
802,234
803,233
803,234
804,233
804,234
805,4
805,6
807,233
807,234
809,233
809,234
810,147
812,57
812,114
813,233
813,234
814,125
815,4
815,6
823,125
823,233
823,234
828,57
828,114
829,233
829,234
834,184
834,233
834,234
836,233
836,234
838,224
838,226
838,227
838,228
838,230
838,232
840,4
840,6
842,63
842,65
844,233
844,234
845,125
845,233
845,234
847,233
847,234
850,224
850,226
850,227
850,228
850,230
850,232
851,234
852,149
852,233
856,224
856,226
856,227
856,228
856,230
856,232
857,224
857,226
857,227
857,228
857,230
857,232
858,224
858,226
858,227
858,228
858,230
858,232
860,224
860,226
860,227
860,228
860,230
860,232
864,224
864,226
864,227
864,228
864,230
864,232
865,4
865,6
865,11
865,14
865,15
865,17
865,18
865,19
865,20
865,24
865,27
865,31
865,32
865,35
865,37
865,38
865,39
865,42
865,43
865,45
865,46
866,224
866,226
866,227
866,228
866,230
866,232
867,224
867,226
867,227
867,228
867,230
867,232
868,160
868,224
868,226
868,227
868,228
868,230
868,232
869,224
869,226
869,227
869,228
869,230
869,232
870,224
870,226
870,227
870,228
870,230
870,232
871,224
871,226
871,227
871,228
871,230
871,232
872,224
872,226
872,227
872,228
872,230
872,232
873,63
873,65
873,149
873,224
873,226
873,227
873,228
873,230
873,232
873,233
874,224
874,226
874,227
874,228
874,230
874,232
877,4
877,6
878,224
878,226
878,227
878,228
878,230
878,232
879,224
879,226
879,227
879,228
879,230
879,232
880,224
880,226
880,227
880,228
880,230
880,232
882,57
882,233
882,234
883,233
883,234
884,224
884,226
884,227
884,228
884,230
884,232
885,224
885,226
885,227
885,228
885,230
885,232
887,224
887,226
887,227
887,228
887,230
887,232
888,224
888,226
888,227
888,228
888,230
888,232
889,224
889,226
889,227
889,228
889,230
889,232
890,224
890,226
890,227
890,228
890,230
890,232
891,224
891,226
891,227
891,228
891,230
891,232
894,224
894,226
894,227
894,228
894,230
894,232
895,224
895,226
895,227
895,228
895,230
895,232
896,57
896,233
896,234
898,57
898,233
898,234
899,224
899,226
899,227
899,228
899,230
899,232
901,224
901,226
901,227
901,228
901,230
901,232
902,196
903,224
903,226
903,227
903,228
903,230
903,232
904,224
904,226
904,227
904,228
904,230
904,232
905,57
905,114
906,224
906,226
906,227
906,228
906,230
906,232
907,224
907,226
907,227
907,228
907,230
907,232
908,233
908,234
909,57
909,114
911,224
911,226
911,227
911,228
911,230
911,232
915,233
915,234
919,233
919,234
920,207
920,233
920,234
922,224
922,226
922,227
922,228
922,230
922,232
923,1
923,3
